dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,2.000000,0.000654,0.065370,3.268494,163.424704,0.000000
0.020000,1.000000,2.000000,0.000654,0.000000,-3.268494,-326.849408,0.000000
0.020000,1.003498,2.000000,0.004152,0.174904,8.745212,600.685280,0.000000
0.020000,1.011342,2.000000,0.011996,0.392219,10.865753,106.027072,0.000000
0.020000,1.021802,2.000000,0.022455,0.522959,6.536988,-216.438240,0.000000
0.020000,1.034876,2.000000,0.035529,0.653699,6.536988,-0.000000,0.000000
0.020000,1.050564,2.000000,0.051218,0.784439,6.536988,0.000000,0.000000
0.020000,1.068868,2.000000,0.069522,0.915178,6.536988,-0.000000,0.000000
0.020000,1.089786,2.000000,0.090440,1.045918,6.536988,0.000000,0.000000
0.020000,1.113319,2.000000,0.113973,1.176658,6.536988,0.000000,0.000000
0.020000,1.139467,2.000000,0.140121,1.307398,6.536988,-0.000000,0.000000
0.020000,1.168230,2.000000,0.168884,1.438137,6.536988,0.000000,0.000000
0.020000,1.199608,2.000000,0.200261,1.568877,6.536988,0.000000,0.000000
0.020000,1.233600,2.000000,0.234254,1.699617,6.536988,0.000000,0.000000
0.020000,1.270207,2.000000,0.270861,1.830357,6.536988,-0.000000,0.000000
0.020000,1.309429,2.000000,0.310083,1.961096,6.536988,0.000000,0.000000
0.020000,1.351266,2.000000,0.351920,2.091836,6.536988,-0.000000,0.000000
0.020000,1.395717,2.000000,0.396371,2.222576,6.536988,0.000000,0.000000
0.020000,1.442784,2.000000,0.443437,2.353316,6.536988,-0.000000,0.000000
0.020000,1.492465,2.000000,0.493118,2.484056,6.536988,0.000000,0.000000
0.020000,1.544761,2.000000,0.545414,2.614795,6.536988,-0.000000,0.000000
0.020000,1.599671,2.000000,0.600325,2.745535,6.536988,0.000000,0.000000
0.020000,1.657197,2.000000,0.657851,2.876275,6.536988,-0.000000,0.000000
0.020000,1.717337,2.000000,0.717991,3.007015,6.536988,0.000000,0.000000
0.020000,1.780092,2.000000,0.780746,3.137754,6.536988,0.000000,0.000000
0.020000,1.845462,2.000000,0.846116,3.268494,6.536988,-0.000000,0.000000
