dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.699518,14.600000,0.000707,0.070748,3.537415,176.870748,0.000482
0.020000,4.699645,14.600000,0.000835,0.006369,-3.218983,-337.819911,0.000355
0.020000,4.699931,14.600000,0.001121,0.014318,0.397490,180.823656,0.000069
0.020000,4.710231,14.599998,0.011421,0.514987,25.033415,1231.796270,6.282746
0.020000,4.728711,14.599982,0.029900,0.923976,20.449477,-229.196900,6.281953
0.020000,4.755317,14.599934,0.056507,1.330321,20.317254,-6.611147,6.280816
0.020000,4.791523,14.599821,0.092714,1.810331,24.000483,184.161451,6.279276
0.020000,4.838061,14.599593,0.139252,2.326916,25.829268,91.439212,6.277309
0.020000,4.894920,14.599191,0.196112,2.843008,25.804591,-1.233843,6.274925
0.020000,4.962087,14.598542,0.263282,3.358493,25.774259,-1.516608,6.272136
0.020000,5.039546,14.597563,0.340747,3.873265,25.738570,-1.784431,6.268957
0.020000,5.127278,14.596158,0.428491,4.387192,25.696337,-2.111623,6.265403
0.020000,5.225263,14.594224,0.526494,4.900167,25.648792,-2.377263,6.261495
0.020000,5.333473,14.591646,0.634736,5.412068,25.595027,-2.688249,6.257254
0.020000,5.451881,14.588304,0.753191,5.922768,25.535026,-3.000048,6.252703
0.020000,5.580455,14.584072,0.881834,6.432147,25.468936,-3.304526,6.247869
0.020000,5.719157,14.578816,1.020636,6.940081,25.396700,-3.611810,6.242782
0.020000,5.867948,14.572404,1.169564,7.446440,25.317923,-3.938827,6.237472
0.020000,6.026783,14.564698,1.328586,7.951099,25.232955,-4.248410,6.231974
0.020000,6.195614,14.555563,1.497665,8.453933,25.141719,-4.561778,6.226323
0.020000,6.374391,14.544866,1.676761,8.954816,25.044145,-4.878735,6.220560
0.020000,6.562329,14.532528,1.865104,9.417148,23.116584,-96.378040,6.214747
0.020000,6.757922,14.518549,2.061196,9.804600,19.372630,-187.197696,6.208968
0.020000,6.959672,14.502968,2.263547,10.117518,15.645882,-186.337410,6.203298
0.020000,7.166091,14.485866,2.470672,10.356288,11.938483,-185.369952,6.197804
0.020000,7.375702,14.467365,2.681099,10.521333,8.252294,-184.309415,6.192548
0.020000,7.587044,14.447621,2.893361,10.613105,4.588572,-183.186126,6.187578
0.020000,7.798666,14.426825,3.106003,10.632069,0.948207,-182.018261,6.182936
0.020000,8.009849,14.405118,3.318298,10.614776,-0.864648,-90.642745,6.178641
0.020000,8.220597,14.382578,3.530248,10.597483,-0.864653,-0.000215,6.174691
0.020000,8.430914,14.359280,3.741852,10.580194,-0.864450,0.010158,6.171087
0.020000,8.640807,14.335300,3.953110,10.562913,-0.864030,0.020981,6.167828
0.020000,8.850282,14.310713,4.164023,10.545643,-0.863521,0.025442,6.164915
0.020000,9.059346,14.285593,4.374590,10.528384,-0.862953,0.028394,6.162348
0.020000,9.268007,14.260014,4.584813,10.511137,-0.862363,0.029524,6.160125
0.020000,9.476272,14.234050,4.794691,10.493902,-0.861742,0.031053,6.158247
0.020000,9.684152,14.207774,5.004225,10.476678,-0.861188,0.027670,6.156713
0.020000,9.891654,14.181258,5.213414,10.459464,-0.860706,0.024102,6.155524
0.020000,10.098788,14.154576,5.422259,10.442258,-0.860313,0.019646,6.154679
0.020000,10.305562,14.127798,5.630760,10.425058,-0.860005,0.015395,6.154178
0.020000,10.511987,14.100996,5.838918,10.407861,-0.859832,0.008663,6.154020
0.020000,10.718070,14.074242,6.046731,10.390665,-0.859783,0.002463,6.154207
0.020000,10.923823,14.047606,6.254200,10.373468,-0.859850,-0.003366,6.154738
0.020000,11.129253,14.021158,6.461326,10.356267,-0.860053,-0.010124,6.155612
0.020000,11.334369,13.994969,6.668107,10.339060,-0.860371,-0.015929,6.156831
0.020000,11.539179,13.969108,6.874544,10.321844,-0.860793,-0.021095,6.158394
0.020000,11.743693,13.943646,7.080636,10.304618,-0.861273,-0.024008,6.160302
0.020000,11.947917,13.918650,7.286384,10.287381,-0.861869,-0.029789,6.162554
0.020000,12.151858,13.894191,7.491786,10.270131,-0.862481,-0.030583,6.165152
0.020000,12.355523,13.870338,7.696844,10.252869,-0.863097,-0.030799,6.168094
0.020000,12.558918,13.847157,7.901556,10.235597,-0.863646,-0.027467,6.171382
0.020000,12.762049,13.824719,8.105922,10.218313,-0.864192,-0.027310,6.175016
0.020000,12.964920,13.803091,8.309942,10.201021,-0.864582,-0.019492,6.178995
0.020000,13.167534,13.782341,8.513617,10.183725,-0.864795,-0.010630,6.183321
0.020000,13.369799,13.762545,8.716848,10.161569,-1.107799,-12.150234,6.187989
0.020000,13.570934,13.743840,8.918850,10.100100,-3.073482,-98.284117,6.192981
0.020000,13.769569,13.726396,9.118250,9.970000,-6.504953,-171.573585,6.198253
0.020000,13.964344,13.710347,9.313685,9.771737,-9.913175,-170.411078,6.203754
0.020000,14.153901,13.695795,9.503800,9.505755,-13.299088,-169.295651,6.209423
0.020000,14.336890,13.682799,9.687250,9.172475,-16.664021,-168.246634,6.215192
0.020000,14.511963,13.671381,9.862695,8.772277,-20.009876,-167.292743,6.220983
0.020000,14.677877,13.661522,10.028901,8.310308,-23.098487,-154.430576,6.226716
0.020000,14.834070,13.653130,10.185320,7.820948,-24.467964,-68.473843,6.232332
0.020000,14.980571,13.646072,10.331991,7.333522,-24.371323,4.832069,6.237792
0.020000,15.117404,13.640215,10.468949,6.847906,-24.280782,4.527007,6.243059
