dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535043,13.408207,0.000707,0.070748,3.537415,176.870748,0.000415
0.020000,4.535043,13.408207,0.003537,0.212245,7.074830,176.870748,0.000307
0.020000,4.535043,13.408207,0.009905,0.424490,10.612245,176.870748,0.000063
0.020000,4.544700,13.408205,0.021224,0.707483,14.149660,176.870748,6.282817
0.020000,4.562387,13.408193,0.038912,1.061224,17.687075,176.870748,6.282145
0.020000,4.587857,13.408154,0.064381,1.485714,21.224490,176.870748,6.281180
0.020000,4.622523,13.408062,0.099048,1.980952,24.761905,176.870748,6.279873
0.020000,4.667094,13.407877,0.143619,2.476190,24.761905,0.000000,6.278205
0.020000,4.721569,13.407550,0.198095,2.971429,24.761905,0.000000,6.276184
0.020000,4.785948,13.407023,0.262476,3.466667,24.761905,0.000000,6.273821
0.020000,4.860230,13.406228,0.336762,3.961905,24.761905,-0.000000,6.271129
0.020000,4.944412,13.405086,0.420952,4.457143,24.761905,0.000000,6.268121
0.020000,5.038494,13.403512,0.515048,4.952381,24.761905,0.000000,6.264816
0.020000,5.142473,13.401415,0.619048,5.447619,24.761905,0.000000,6.261232
0.020000,5.256345,13.398695,0.732952,5.942857,24.761905,0.000000,6.257390
0.020000,5.380107,13.395248,0.856762,6.438095,24.761905,-0.000000,6.253313
0.020000,5.513752,13.390967,0.990476,6.933333,24.761905,0.000000,6.249026
0.020000,5.657276,13.385739,1.134095,7.428571,24.761905,-0.000000,6.244557
0.020000,5.810671,13.379454,1.287619,7.923810,24.761905,0.000000,6.239935
0.020000,5.973929,13.371998,1.451048,8.419048,24.761905,0.000000,6.235191
0.020000,6.147042,13.363261,1.624381,8.914286,24.761905,0.000000,6.230360
0.020000,6.329294,13.353177,1.806912,9.338776,21.224490,-176.870748,6.225496
0.020000,6.519263,13.341741,1.997224,9.692517,17.687075,-176.870748,6.220668
0.020000,6.715529,13.328985,2.193905,9.975510,14.149660,-176.870748,6.215942
0.020000,6.916674,13.314973,2.395537,10.187755,10.612245,-176.870748,6.211373
0.020000,7.121282,13.299800,2.600707,10.329252,7.074830,-176.870748,6.207013
0.020000,7.327940,13.283596,2.808000,10.400000,3.537415,-176.870748,6.202903
0.020000,7.535237,13.266514,3.016000,10.400000,0.000000,-176.870748,6.199078
0.020000,7.742470,13.248669,3.224000,10.400000,0.000000,0.000000,6.195552
0.020000,7.949642,13.230126,3.432000,10.400000,0.000000,0.000000,6.192325
0.020000,8.156755,13.210944,3.640000,10.400000,0.000000,0.000000,6.189398
0.020000,8.363815,13.191188,3.848000,10.400000,0.000000,0.000000,6.186769
0.020000,8.570825,13.170918,4.056000,10.400000,0.000000,0.000000,6.184439
0.020000,8.777790,13.150197,4.264000,10.400000,0.000000,0.000000,6.182408
0.020000,8.984716,13.129086,4.472000,10.400000,0.000000,0.000000,6.180675
0.020000,9.191608,13.107648,4.680000,10.400000,0.000000,0.000000,6.179240
0.020000,9.398473,13.085943,4.888000,10.400000,0.000000,0.000000,6.178104
0.020000,9.605316,13.064035,5.096000,10.400000,0.000000,0.000000,6.177266
0.020000,9.812143,13.041984,5.304000,10.400000,0.000000,0.000000,6.176725
0.020000,10.018963,13.019851,5.512000,10.400000,0.000000,0.000000,6.176483
0.020000,10.225780,12.997700,5.720000,10.400000,0.000000,0.000000,6.176538
0.020000,10.432601,12.975591,5.928000,10.400000,0.000000,0.000000,6.176891
0.020000,10.639434,12.953585,6.136000,10.400000,0.000000,0.000000,6.177542
