dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535460,12.408207,0.000651,0.065146,3.257323,162.866140,0.000417
0.020000,4.535360,12.408207,0.000751,0.004978,-3.008410,-313.286618,0.000317
0.020000,4.535161,12.408207,0.000950,0.009950,0.248575,162.849231,0.000118
0.020000,4.539582,12.408206,0.005371,0.221052,10.555091,515.325776,6.283005
0.020000,4.549609,12.408203,0.015398,0.501325,14.013695,172.930199,6.282608
0.020000,4.562143,12.408192,0.027932,0.626707,6.269097,-387.229862,6.282113
0.020000,4.577185,12.408172,0.042974,0.752121,6.270697,0.079975,6.281521
0.020000,4.594737,12.408136,0.060526,0.877577,6.272806,0.105447,6.280831
0.020000,4.614798,12.408081,0.080587,1.003078,6.275029,0.111185,6.280046
0.020000,4.637371,12.408001,0.103160,1.128634,6.277819,0.139470,6.279166
0.020000,4.662456,12.407888,0.128245,1.254251,6.280826,0.150347,6.278192
0.020000,4.690054,12.407735,0.155844,1.379932,6.284062,0.161833,6.277126
0.020000,4.720167,12.407535,0.185957,1.505692,6.288003,0.197030,6.275970
0.020000,4.752797,12.407279,0.218588,1.631530,6.291875,0.193583,6.274724
0.020000,4.787944,12.406959,0.253737,1.757456,6.296317,0.222096,6.273392
0.020000,4.825612,12.406563,0.291407,1.883477,6.301069,0.237625,6.271973
0.020000,4.865801,12.406082,0.331599,2.009603,6.306277,0.260403,6.270472
0.020000,4.908514,12.405505,0.374315,2.135836,6.311635,0.267906,6.268889
0.020000,4.953752,12.404821,0.419559,2.262185,6.317466,0.291542,6.267227
0.020000,5.001519,12.404017,0.467332,2.388658,6.323623,0.307854,6.265489
0.020000,5.051815,12.403081,0.517638,2.515263,6.330275,0.332604,6.263677
0.020000,5.104644,12.402000,0.570478,2.642004,6.337029,0.337668,6.261794
0.020000,5.160008,12.400762,0.625856,2.768891,6.344392,0.368168,6.259843
0.020000,5.217910,12.399351,0.683774,2.895932,6.352031,0.381941,6.257827
0.020000,5.278351,12.397755,0.744237,3.023131,6.359967,0.396821,6.255749
0.020000,5.341336,12.395959,0.807247,3.150499,6.368359,0.419594,6.253612
0.020000,5.406866,12.393949,0.872808,3.278040,6.377081,0.436094,6.251421
0.020000,5.474944,12.391709,0.940923,3.405765,6.386220,0.456962,6.249178
0.020000,5.545574,12.389225,1.011596,3.533678,6.395670,0.472485,6.246888
0.020000,5.618758,12.386482,1.084832,3.661788,6.405498,0.491394,6.244553
