dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535628,14.506614,0.000707,0.070748,3.537415,176.870748,6.282600
0.020000,4.535479,14.506614,0.000857,0.007459,-3.164455,-335.093516,6.282750
0.020000,4.535143,14.506614,0.001192,0.016770,0.465547,181.500131,6.283085
0.020000,4.543962,14.506616,0.010011,0.440932,21.208088,1037.127023,0.000495
0.020000,4.560721,14.506632,0.026770,0.837951,19.850940,-67.857385,0.001423
0.020000,4.584859,14.506683,0.050907,1.206887,18.446823,-70.205866,0.002755
0.020000,4.617722,14.506803,0.083771,1.643160,21.813649,168.341333,0.004558
0.020000,4.659989,14.507044,0.126039,2.113404,23.512208,84.927938,0.006862
0.020000,4.711672,14.507471,0.177723,2.584235,23.541537,1.466448,0.009653
0.020000,4.772784,14.508161,0.238839,3.055781,23.577320,1.789170,0.012918
0.020000,4.843340,14.509204,0.309403,3.528185,23.620164,2.142165,0.016640
0.020000,4.923357,14.510703,0.389434,4.001582,23.669879,2.485773,0.020799
0.020000,5.012856,14.512770,0.478957,4.476121,23.726959,2.854000,0.025372
0.020000,5.111856,14.515529,0.577996,4.951947,23.791271,3.215599,0.030333
0.020000,5.220381,14.519112,0.686580,5.429207,23.862986,3.585715,0.035653
0.020000,5.338455,14.523659,0.804741,5.908057,23.942514,3.976414,0.041301
0.020000,5.466103,14.529316,0.932514,6.388644,24.029337,4.341169,0.047243
0.020000,5.603351,14.536233,1.069937,6.871130,24.124316,4.748948,0.053439
0.020000,5.750228,14.544564,1.217050,7.355663,24.226634,5.115916,0.059849
0.020000,5.906763,14.554464,1.373898,7.842400,24.336854,5.510984,0.066429
0.020000,6.072988,14.566087,1.540528,8.331494,24.454714,5.892974,0.073133
0.020000,6.248253,14.579527,1.716308,8.788999,22.875252,-78.973081,0.079883
0.020000,6.431230,14.594797,1.899920,9.180641,19.582105,-164.657326,0.086583
0.020000,6.620582,14.611865,2.090041,9.506006,16.268238,-165.693393,0.093142
0.020000,6.814969,14.630652,2.285333,9.764623,12.930854,-166.869161,0.099482
0.020000,7.013043,14.651034,2.484453,9.955979,9.567820,-168.151735,0.105533
0.020000,7.213449,14.672847,2.686043,10.079529,6.177493,-169.516340,0.111234
0.020000,7.414830,14.695889,2.888737,10.134709,2.758982,-170.925556,0.116540
0.020000,7.616503,14.720006,3.091848,10.155521,1.040609,-85.918626,0.121429
