dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535043,13.506614,0.000648,0.064812,3.240616,162.030811,6.282597
0.020000,4.535043,13.506614,0.003241,0.194437,6.481232,162.030811,6.282734
0.020000,4.535043,13.506614,0.008426,0.324062,6.481232,0.000000,6.283007
0.020000,4.539436,13.506615,0.016203,0.453686,6.481232,-0.000000,0.000231
0.020000,4.549806,13.506620,0.026573,0.583311,6.481232,0.000000,0.000776
0.020000,4.562768,13.506634,0.039536,0.712936,6.481232,-0.000000,0.001456
0.020000,4.578323,13.506663,0.055090,0.842560,6.481232,0.000000,0.002270
0.020000,4.596470,13.506713,0.073238,0.972185,6.481232,0.000000,0.003217
0.020000,4.617210,13.506791,0.093978,1.101810,6.481232,0.000000,0.004295
0.020000,4.640542,13.506905,0.117310,1.231434,6.481232,-0.000000,0.005504
0.020000,4.666467,13.507065,0.143235,1.361059,6.481232,0.000000,0.006842
0.020000,4.694983,13.507281,0.171753,1.490683,6.481232,-0.000000,0.008306
0.020000,4.726092,13.507564,0.202863,1.620308,6.481232,0.000000,0.009896
0.020000,4.759793,13.507927,0.236565,1.749933,6.481232,-0.000000,0.011609
0.020000,4.796085,13.508381,0.272860,1.879557,6.481232,0.000000,0.013442
0.020000,4.834968,13.508942,0.311747,2.009182,6.481232,-0.000000,0.015392
0.020000,4.876442,13.509623,0.353227,2.138807,6.481232,0.000000,0.017459
0.020000,4.920507,13.510441,0.397300,2.268431,6.481232,0.000000,0.019637
0.020000,4.967162,13.511411,0.443964,2.398056,6.481232,0.000000,0.021925
0.020000,5.016406,13.512550,0.493222,2.527681,6.481232,-0.000000,0.024318
0.020000,5.068239,13.513875,0.545072,2.657305,6.481232,0.000000,0.026814
0.020000,5.122660,13.515406,0.599514,2.786930,6.481232,0.000000,0.029408
0.020000,5.179668,13.517159,0.656549,2.916555,6.481232,0.000000,0.032098
0.020000,5.239261,13.519156,0.716176,3.046179,6.481232,-0.000000,0.034877
0.020000,5.301440,13.521415,0.778396,3.175804,6.481232,0.000000,0.037743
0.020000,5.366203,13.523956,0.843208,3.305429,6.481232,0.000000,0.040690
0.020000,5.433547,13.526800,0.910613,3.435053,6.481232,0.000000,0.043714
0.020000,5.503473,13.529967,0.980610,3.564678,6.481232,0.000000,0.046810
0.020000,5.575978,13.533479,1.053200,3.694302,6.481232,0.000000,0.049972
0.020000,5.651060,13.537356,1.128383,3.823927,6.481232,-0.000000,0.053196
0.020000,5.728718,13.541619,1.206157,3.953552,6.481232,0.000000,0.056475
0.020000,5.808949,13.546289,1.286525,4.083176,6.481232,0.000000,0.059804
0.020000,5.891752,13.551388,1.369484,4.212801,6.481232,-0.000000,0.063177
0.020000,5.977124,13.556935,1.455037,4.342426,6.481232,0.000000,0.066587
0.020000,6.065063,13.562952,1.543181,4.472050,6.481232,0.000000,0.070028
0.020000,6.155567,13.569458,1.633919,4.601675,6.481232,-0.000000,0.073493
0.020000,6.248633,13.576474,1.727248,4.731300,6.481232,0.000000,0.076976
0.020000,6.344258,13.584018,1.823171,4.860924,6.481232,-0.000000,0.080469
0.020000,6.442440,13.592109,1.921685,4.990549,6.481232,0.000000,0.083965
0.020000,6.543176,13.600765,2.022793,5.120174,6.481232,0.000000,0.087456
0.020000,6.646463,13.610004,2.126492,5.249798,6.481232,-0.000000,0.090936
0.020000,6.752299,13.619840,2.232785,5.379423,6.481232,0.000000,0.094395
0.020000,6.860681,13.630290,2.341669,5.509048,6.481232,0.000000,0.097827
0.020000,6.971606,13.641368,2.453146,5.638672,6.481232,-0.000000,0.101222
0.020000,7.085073,13.653086,2.567216,5.768297,6.481232,0.000000,0.104573
0.020000,7.201077,13.665456,2.683878,5.897922,6.481232,-0.000000,0.107870
0.020000,7.319617,13.678488,2.803133,6.027546,6.481232,0.000000,0.111105
0.020000,7.440692,13.692191,2.924980,6.157171,6.481232,0.000000,0.114269
0.020000,7.564297,13.706572,3.049420,6.286795,6.481232,-0.000000,0.117353
0.020000,7.690433,13.721635,3.176452,6.416420,6.481232,0.000000,0.120348
0.020000,7.819097,13.737386,3.306077,6.546045,6.481232,-0.000000,0.123244
0.020000,7.950289,13.753824,3.438294,6.675669,6.481232,0.000000,0.126031
0.020000,8.084006,13.770950,3.573103,6.805294,6.481232,0.000000,0.128700
0.020000,8.220249,13.788760,3.710506,6.934919,6.481232,-0.000000,0.131241
0.020000,8.359017,13.807249,3.850500,7.064543,6.481232,0.000000,0.133644
