dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.534458,12.506614,0.000707,0.070748,3.537415,176.870748,6.282600
0.020000,4.534607,12.506614,0.000857,0.007459,-3.164455,-335.093516,6.282750
0.020000,4.534943,12.506614,0.001192,0.016770,0.465547,181.500131,6.283085
0.020000,4.544952,12.506617,0.011201,0.500471,24.185054,1185.975361,0.000495
0.020000,4.563567,12.506634,0.029817,0.930758,21.514344,-133.535547,0.001423
0.020000,4.590368,12.506690,0.056618,1.340053,20.464720,-52.481157,0.002755
0.020000,4.626838,12.506824,0.093088,1.823505,24.172644,185.396169,0.004558
0.020000,4.673712,12.507091,0.139962,2.343734,26.011434,91.939489,0.006862
0.020000,4.730978,12.507564,0.197230,2.863383,25.982442,-1.449584,0.009653
0.020000,4.798620,12.508328,0.264876,3.382311,25.946388,-1.802705,0.012918
0.020000,4.876619,12.509481,0.342884,3.900384,25.903650,-2.136900,0.016640
0.020000,4.964953,12.511135,0.431233,4.417458,25.853707,-2.497134,0.020799
0.020000,5.063594,12.513414,0.529901,4.933393,25.796785,-2.846089,0.025372
0.020000,5.172513,12.516449,0.638862,5.448042,25.732429,-3.217798,0.030333
0.020000,5.291673,12.520383,0.758087,5.961253,25.660546,-3.594180,0.035653
0.020000,5.421035,12.525364,0.887545,6.472880,25.581347,-3.959942,0.041301
0.020000,5.560553,12.531547,1.027200,6.982762,25.494082,-4.363269,0.047243
0.020000,5.710178,12.539088,1.177015,7.490753,25.399580,-4.725098,0.053439
0.020000,5.869855,12.548145,1.336949,7.996691,25.296916,-5.133154,0.059849
0.020000,6.039525,12.558876,1.506957,8.500427,25.186761,-5.507782,0.066429
0.020000,6.219122,12.571433,1.686993,9.001806,25.068970,-5.889554,0.073133
0.020000,6.407849,12.585905,1.876274,9.464027,23.111068,-97.895086,0.079883
0.020000,6.604179,12.602289,2.073286,9.850615,19.329380,-189.084404,0.086583
0.020000,6.806598,12.620534,2.276526,10.161985,15.568518,-188.043115,0.093142
0.020000,7.013606,12.640540,2.484498,10.398608,11.831129,-186.869441,0.099482
0.020000,7.223716,12.662161,2.695718,10.560996,8.119406,-185.586165,0.105533
0.020000,7.435459,12.685208,2.908712,10.649694,4.434874,-184.226562,0.111234
0.020000,7.647382,12.709455,3.122017,10.665267,0.778660,-182.810690,0.116540
0.020000,7.858765,12.734733,3.334906,10.644458,-1.040420,-90.954019,0.121429
0.020000,8.069615,12.760949,3.547380,10.623659,-1.039981,0.021941,0.125902
0.020000,8.279938,12.788011,3.759437,10.602876,-1.039157,0.041212,0.129960
0.020000,8.489745,12.815828,3.971079,10.582112,-1.038189,0.048393,0.133602
0.020000,8.699043,12.844309,4.182307,10.561370,-1.037111,0.053912,0.136830
0.020000,8.907844,12.873366,4.393120,10.540652,-1.035880,0.061520,0.139643
0.020000,9.116159,12.902908,4.603519,10.519957,-1.034741,0.056963,0.142042
0.020000,9.323999,12.932848,4.813505,10.499284,-1.033681,0.053025,0.144028
0.020000,9.531377,12.963099,5.023077,10.478630,-1.032662,0.050904,0.145601
0.020000,9.738305,12.993572,5.232237,10.457993,-1.031867,0.039774,0.146760
0.020000,9.944796,13.024182,5.440984,10.437368,-1.031252,0.030735,0.147508
0.020000,10.150862,13.054844,5.649319,10.416752,-1.030823,0.021474,0.147843
0.020000,10.356517,13.085471,5.857242,10.396139,-1.030650,0.008649,0.147766
0.020000,10.561773,13.115979,6.064753,10.375525,-1.030694,-0.002224,0.147276
0.020000,10.766641,13.146284,6.271851,10.354905,-1.030990,-0.014785,0.146374
0.020000,10.971135,13.176302,6.478536,10.334275,-1.031493,-0.025156,0.145060
