dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633568,14.605021,0.000653,0.065290,3.264502,163.225123,6.283068
0.020000,4.633528,14.605021,0.000693,0.001986,-3.165202,-321.485214,6.283107
0.020000,4.633529,14.605021,0.000693,0.000032,-0.097686,153.375810,0.000001
0.020000,4.641246,14.605022,0.008410,0.385849,19.290843,969.426442,0.000119
0.020000,4.651537,14.605024,0.018701,0.514544,6.434730,-642.805679,0.000275
0.020000,4.664403,14.605028,0.031567,0.643306,6.438101,0.168588,0.000466
0.020000,4.679846,14.605037,0.047010,0.772151,6.442285,0.209179,0.000693
0.020000,4.697868,14.605052,0.065032,0.901098,6.447332,0.252333,0.000952
0.020000,4.718471,14.605075,0.085635,1.030161,6.453164,0.291607,0.001242
0.020000,4.741658,14.605107,0.108823,1.159359,6.459899,0.336754,0.001559
0.020000,4.767432,14.605152,0.134597,1.288707,6.467370,0.373549,0.001901
0.020000,4.795797,14.605211,0.162961,1.418222,6.475762,0.419617,0.002264
0.020000,4.826755,14.605287,0.193920,1.547922,6.484977,0.460762,0.002645
0.020000,4.860311,14.605383,0.227476,1.677821,6.494968,0.499527,0.003039
0.020000,4.896470,14.605500,0.263635,1.807937,6.505823,0.542735,0.003443
0.020000,4.935235,14.605641,0.302401,1.938287,6.517489,0.583301,0.003851
0.020000,4.976613,14.605809,0.343778,2.068887,6.529988,0.624948,0.004259
0.020000,5.020607,14.606006,0.387773,2.199753,6.543299,0.665559,0.004661
0.020000,5.067225,14.606232,0.434391,2.330902,6.557457,0.707899,0.005052
0.020000,5.116471,14.606490,0.483638,2.462350,6.572403,0.747309,0.005426
0.020000,5.168353,14.606781,0.535521,2.594114,6.588175,0.788582,0.005775
0.020000,5.222876,14.607105,0.590045,2.726210,6.604815,0.832008,0.006095
0.020000,5.280048,14.607462,0.647218,2.858654,6.622227,0.870635,0.006377
0.020000,5.339876,14.607851,0.707047,2.991464,6.640501,0.913674,0.006615
0.020000,5.402368,14.608270,0.769540,3.124656,6.659581,0.954020,0.006800
0.020000,5.467531,14.608718,0.834705,3.258246,6.679508,0.996328,0.006925
0.020000,5.535374,14.609190,0.902550,3.392251,6.700264,1.037794,0.006982
0.020000,5.605906,14.609682,0.973084,3.526689,6.721875,1.080577,0.006961
0.020000,5.679136,14.610188,1.046316,3.661576,6.744327,1.122586,0.006854
0.020000,5.755073,14.610702,1.122254,3.796929,6.767648,1.166061,0.006652
0.020000,5.833727,14.611214,1.200909,3.932765,6.791841,1.209660,0.006345
0.020000,5.915107,14.611713,1.282292,4.069103,6.816879,1.251897,0.005923
0.020000,5.999225,14.612189,1.366411,4.205960,6.842873,1.299679,0.005375
0.020000,6.086091,14.612627,1.453278,4.343355,6.869744,1.343546,0.004691
0.020000,6.175716,14.613012,1.542904,4.481306,6.897512,1.388414,0.003859
0.020000,6.268112,14.613323,1.635301,4.619831,6.926261,1.437422,0.002868
0.020000,6.363291,14.613542,1.730480,4.758949,6.955928,1.483348,0.001707
0.020000,6.461265,14.613645,1.828453,4.898682,6.986637,1.535454,0.000363
0.020000,6.562046,14.613605,1.929234,5.039047,7.018254,1.580858,6.282008
0.020000,6.665647,14.613394,2.032835,5.180067,7.051010,1.637821,6.280259
0.020000,6.772081,14.612979,2.139271,5.321761,7.084701,1.684536,6.278288
0.020000,6.881362,14.612325,2.248554,5.464151,7.119488,1.739364,6.276080
0.020000,6.993504,14.611392,2.360699,5.607259,7.155372,1.794186,6.273623
0.020000,7.108519,14.610138,2.475721,5.751105,7.192319,1.847365,6.270899
0.020000,7.226422,14.608514,2.593635,5.895715,7.230504,1.909256,6.267895
0.020000,7.347227,14.606470,2.714457,6.041108,7.269644,1.956960,6.264595
0.020000,7.470947,14.603948,2.838204,6.187308,7.310001,2.017880,6.260983
0.020000,7.597597,14.600889,2.964890,6.334340,7.351618,2.080846,6.257041
0.020000,7.727190,14.597225,3.094535,6.482223,7.394143,2.126236,6.252754
0.020000,7.859738,14.592884,3.227155,6.630981,7.437918,2.188774,6.248102
0.020000,7.995255,14.587790,3.362767,6.780637,7.482791,2.243653,6.243070
0.020000,8.133753,14.581857,3.501391,6.931210,7.528623,2.291600,6.237637
0.020000,8.275241,14.574997,3.643046,7.082720,7.575518,2.344753,6.231786
0.020000,8.419729,14.567112,3.787750,7.235182,7.623116,2.379900,6.225497
0.020000,8.567227,14.558098,3.935522,7.388618,7.671783,2.433313,6.218750
0.020000,8.717738,14.547845,4.086383,7.543034,7.720776,2.449680,6.211528
0.020000,8.871269,14.536233,4.240351,7.698441,7.770357,2.479028,6.203808
0.020000,9.027819,14.523136,4.397448,7.854841,7.820005,2.482433,6.195572
0.020000,9.187386,14.508420,4.557693,8.012234,7.869681,2.483773,6.186800
0.020000,9.349965,14.491940,4.721105,8.170612,7.918891,2.460497,6.177471
0.020000,9.515546,14.473546,4.887704,8.329960,7.967360,2.423469,6.167568
0.020000,9.684113,14.453078,5.057509,8.490249,8.014460,2.354969,6.157070
0.020000,9.855645,14.430367,5.230538,8.651445,8.059794,2.266717,6.145959
0.020000,10.030114,14.405236,5.406808,8.813499,8.102706,2.145617,6.134219
0.020000,10.207485,14.377498,5.586335,8.976348,8.142467,1.988051,6.121834
0.020000,10.387715,14.346962,5.769133,9.139915,8.178332,1.793213,6.108788
0.020000,10.570750,14.313424,5.955216,9.304106,8.209548,1.560841,6.095070
0.020000,10.756527,14.276677,6.144592,9.468804,8.234899,1.267547,6.080670
0.020000,10.944970,14.236507,6.337269,9.633874,8.253536,0.931832,6.065579
0.020000,11.135993,14.192694,6.533252,9.799170,8.264793,0.562841,6.049794
0.020000,11.329496,14.145013,6.732543,9.964501,8.266559,0.088318,6.033314
0.020000,11.525362,14.093239,6.935136,10.129683,8.259101,-0.372884,6.016142
0.020000,11.723463,14.037144,7.141026,10.294492,8.240412,-0.934456,5.998285
0.020000,11.923653,13.976502,7.350199,10.458670,8.208902,-1.575507,5.979755
0.020000,12.125772,13.911091,7.562639,10.621992,8.166125,-2.138859,5.960570
0.020000,12.328964,13.840932,7.777603,10.748191,6.309936,-92.809471,5.940820
0.020000,12.531239,13.766547,7.993121,10.775920,1.386460,-246.173794,5.920718
0.020000,12.730641,13.688619,8.207211,10.704454,-3.573295,-247.987743,5.900493
0.020000,12.926185,13.607603,8.418873,10.583101,-6.067668,-124.718645,5.880285
0.020000,13.117578,13.523747,8.627830,10.447855,-6.762315,-34.732335,5.860171
0.020000,13.304751,13.437227,8.834032,10.310121,-6.886665,-6.217520,5.840200
0.020000,13.510456,13.333305,9.064498,11.523279,60.657910,3377.228751,5.786872
0.020000,13.717199,13.213411,9.303490,11.949603,21.316172,-1967.086902,5.728858
0.020000,13.911144,13.085949,9.535570,11.604023,-17.278982,-1929.757706,5.675149
0.020000,14.092347,12.953059,9.760280,11.235470,-18.427643,-57.433053,5.626206
0.020000,14.261280,12.816658,9.977405,10.856257,-18.960648,-26.650254,5.582240
0.020000,14.418702,12.678386,10.186930,10.476279,-18.998911,-1.913107,5.543266
0.020000,14.565537,12.539588,10.388983,10.102652,-18.681381,15.876487,5.509157
0.020000,14.702777,12.401343,10.583782,9.739935,-18.135834,27.277327,5.479694
0.020000,14.831412,12.264498,10.771594,9.390608,-17.466351,33.474176,5.454607
0.020000,14.952386,12.129714,10.952706,9.055588,-16.751003,35.767404,5.433611
0.020000,15.066573,11.997502,11.127402,8.734800,-16.039373,35.581506,5.416420
0.020000,15.174763,11.868258,11.295952,8.427507,-15.364666,33.735322,5.402764
0.020000,15.277664,11.742293,11.458604,8.132604,-14.745149,30.975839,5.392396
0.020000,15.375896,11.619851,11.615581,7.848856,-14.187414,27.886766,5.385091
0.020000,15.470007,11.501127,11.767081,7.574995,-13.693061,24.717641,5.380652
0.020000,15.560469,11.386279,11.913278,7.309815,-13.258976,21.704269,5.378905
0.020000,15.647691,11.275437,12.054322,7.052221,-12.879713,18.963119,5.379698
0.020000,15.732022,11.168708,12.190347,6.801252,-12.548461,16.562638,5.382899
0.020000,15.813760,11.066181,12.321469,6.556094,-12.257885,14.528771,5.388392
0.020000,15.893155,10.967928,12.447791,6.316092,-12.000076,12.890487,5.396072
0.020000,15.970415,10.874007,12.569406,6.080760,-11.766610,11.673283,5.405848
0.020000,16.045709,10.784460,12.686401,5.849745,-11.550757,10.792664,5.417632
0.020000,16.119174,10.699316,12.798858,5.622876,-11.343434,10.366143,5.431342
0.020000,16.190918,10.618585,12.906861,5.400118,-11.137895,10.276930,5.446895
0.020000,16.261021,10.542263,13.010493,5.181601,-10.925874,10.601073,5.464206
0.020000,16.329546,10.470326,13.109844,4.967561,-10.701983,11.194536,5.483187
0.020000,16.396535,10.402728,13.205012,4.758382,-10.458942,12.152031,5.503739
0.020000,16.462016,10.339406,13.296103,4.554546,-10.191821,13.356056,5.525757
0.020000,16.526011,10.280273,13.383235,4.356614,-9.896585,14.761819,5.549121
0.020000,16.588531,10.225220,13.466539,4.165190,-9.571213,16.268571,5.573702
0.020000,16.649588,10.174122,13.546156,3.980894,-9.214783,17.821532,5.599357
0.020000,16.709192,10.126831,13.622243,3.804315,-8.828972,19.290547,5.625932
0.020000,16.767357,10.083185,13.694962,3.635970,-8.417235,20.586844,5.653262
0.020000,16.824099,10.043009,13.764488,3.476268,-7.985121,21.605676,5.681175
0.020000,16.879439,10.006117,13.830997,3.325464,-7.540178,22.247146,5.709492
0.020000,16.933402,9.972320,13.894670,3.183649,-7.090782,22.469846,5.738034
0.020000,16.986016,9.941425,13.955684,3.050727,-6.646069,22.235629,5.766623
0.020000,17.037312,9.913241,14.014213,2.926418,-6.215465,21.530189,5.795087
0.020000,17.087318,9.887583,14.070417,2.810235,-5.809172,20.314654,5.823263
0.020000,17.136062,9.864271,14.124449,2.701598,-5.431810,18.868127,5.851000
0.020000,17.183567,9.843134,14.176444,2.599754,-5.092238,16.978557,5.878163
0.020000,17.229850,9.824012,14.226522,2.503870,-4.794178,14.903009,5.904631
0.020000,17.274921,9.806752,14.274784,2.413132,-4.536912,12.863324,5.930303
0.020000,17.318781,9.791213,14.321316,2.326584,-4.327409,10.475121,5.955094
