dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633333,12.605021,0.000653,0.065290,3.264502,163.225123,6.283068
0.020000,4.633372,12.605021,0.000693,0.001986,-3.165202,-321.485214,6.283107
0.020000,4.633531,12.605021,0.000851,0.007943,0.297841,173.152163,0.000001
0.020000,4.641484,12.605022,0.008804,0.397631,19.484414,959.328612,0.000119
0.020000,4.652086,12.605024,0.019406,0.530096,6.623264,-643.057481,0.000275
0.020000,4.665336,12.605029,0.032656,0.662495,6.619926,-0.166888,0.000466
0.020000,4.681232,12.605038,0.048552,0.794809,6.615725,-0.210059,0.000693
0.020000,4.699772,12.605053,0.067093,0.927024,6.610715,-0.250491,0.000952
0.020000,4.720955,12.605076,0.088275,1.059120,6.604819,-0.294800,0.001242
0.020000,4.744776,12.605110,0.112097,1.191083,6.598160,-0.332941,0.001559
0.020000,4.771234,12.605156,0.138555,1.322895,6.590570,-0.379527,0.001901
0.020000,4.800325,12.605216,0.167645,1.454540,6.582241,-0.416439,0.002264
0.020000,4.832045,12.605294,0.199365,1.586001,6.573076,-0.458263,0.002645
0.020000,4.866390,12.605392,0.233711,1.717262,6.563028,-0.502371,0.003039
0.020000,4.903356,12.605512,0.270677,1.848305,6.552193,-0.541780,0.003443
0.020000,4.942938,12.605656,0.310259,1.979116,6.540518,-0.583763,0.003851
0.020000,4.985131,12.605827,0.352453,2.109676,6.528027,-0.624522,0.004259
0.020000,5.029930,12.606027,0.397252,2.239970,6.514702,-0.666245,0.004661
0.020000,5.077329,12.606258,0.444652,2.369982,6.500579,-0.706141,0.005052
0.020000,5.127322,12.606520,0.494645,2.499694,6.485600,-0.748994,0.005426
0.020000,5.179903,12.606814,0.547227,2.629090,6.469800,-0.789965,0.005775
0.020000,5.235065,12.607142,0.602390,2.758154,6.453224,-0.828833,0.006095
0.020000,5.292802,12.607502,0.660128,2.886870,6.435770,-0.872701,0.006377
0.020000,5.353105,12.607894,0.720432,3.015220,6.417523,-0.912312,0.006615
0.020000,5.415967,12.608316,0.783296,3.143189,6.398425,-0.954937,0.006800
0.020000,5.481381,12.608766,0.848711,3.270759,6.378505,-0.995968,0.006925
0.020000,5.549337,12.609239,0.916669,3.397914,6.357739,-1.038333,0.006982
0.020000,5.619828,12.609730,0.987162,3.524637,6.336139,-1.079974,0.006961
0.020000,5.692845,12.610235,1.060180,3.650910,6.313677,-1.123111,0.006854
0.020000,5.768378,12.610746,1.135715,3.776717,6.290364,-1.165626,0.006652
0.020000,5.846417,12.611254,1.213756,3.902041,6.266184,-1.209004,0.006345
0.020000,5.926952,12.611749,1.294293,4.026863,6.241087,-1.254849,0.005923
0.020000,6.009974,12.612218,1.377316,4.151166,6.215158,-1.296466,0.005375
0.020000,6.095472,12.612649,1.462815,4.274932,6.188290,-1.343380,0.004691
0.020000,6.183434,12.613026,1.550778,4.398141,6.160474,-1.390844,0.003859
0.020000,6.273849,12.613332,1.641193,4.520776,6.131755,-1.435931,0.002868
0.020000,6.366705,12.613545,1.734049,4.642817,6.102038,-1.485864,0.001707
0.020000,6.461990,12.613645,1.829334,4.764245,6.071404,-1.531694,0.000363
0.020000,6.559691,12.613607,1.927035,4.885039,6.039682,-1.586080,6.282008
0.020000,6.659794,12.613403,2.027139,5.005180,6.007056,-1.631323,6.280259
0.020000,6.762286,12.613003,2.129632,5.124646,5.973283,-1.688620,6.278288
0.020000,6.867153,12.612376,2.234500,5.243415,5.938481,-1.740137,6.276080
0.020000,6.974378,12.611484,2.341729,5.361467,5.902607,-1.793686,6.273623
0.020000,7.083947,12.610289,2.451305,5.478779,5.865594,-1.850648,6.270899
0.020000,7.195843,12.608748,2.563211,5.595331,5.827576,-1.900916,6.267895
0.020000,7.310049,12.606815,2.677433,5.711096,5.788257,-1.965919,6.264595
0.020000,7.426546,12.604441,2.793954,5.826053,5.747875,-2.019093,6.260983
0.020000,7.545315,12.601572,2.912758,5.940183,5.706464,-2.070546,6.257041
0.020000,7.666336,12.598151,3.033827,6.053457,5.663708,-2.137805,6.252754
0.020000,7.789587,12.594115,3.157144,6.165856,5.619964,-2.187217,6.248102
