dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.698400,10.699999,0.000707,0.070748,3.537415,176.870748,0.001600
0.020000,4.698814,10.699999,0.001121,0.020690,-2.502937,-302.017583,0.001186
0.020000,4.699745,10.700000,0.002052,0.046540,1.292544,189.774059,0.000255
0.020000,4.710973,10.699992,0.013280,0.561414,25.743680,1222.556777,6.281786
0.020000,4.731245,10.699938,0.033553,1.013616,22.610080,-156.679988,6.279201
0.020000,4.760436,10.699767,0.062744,1.459581,22.298247,-15.591654,6.275479
0.020000,4.800166,10.699360,0.102476,1.986609,26.351427,202.658976,6.270413
0.020000,4.851242,10.698542,0.153558,2.554099,28.374503,101.153804,6.263903
0.020000,4.913653,10.697090,0.215986,3.121390,28.364532,-0.498548,6.255950
0.020000,4.987384,10.694735,0.289755,3.688441,28.352576,-0.597794,6.246563
0.020000,5.072406,10.691159,0.374852,4.254856,28.320747,-1.591423,6.235750
0.020000,5.168679,10.685999,0.471263,4.820537,28.284049,-1.834948,6.223530
0.020000,5.276140,10.678846,0.578962,5.384952,28.220713,-3.166795,6.209925
0.020000,5.394707,10.669252,0.697917,5.947729,28.138874,-4.091921,6.194969
0.020000,5.524269,10.656729,0.828082,6.508283,28.027691,-5.559183,6.178706
0.020000,5.664682,10.640759,0.969401,7.065926,27.882174,-7.275828,6.161196
0.020000,5.815767,10.620799,1.121798,7.619876,27.697461,-9.235645,6.142510
0.020000,5.977303,10.596289,1.285183,8.169258,27.469125,-11.416801,6.122742
0.020000,6.149028,10.566661,1.459446,8.713129,27.193544,-13.779039,6.102000
0.020000,6.330638,10.531354,1.644456,9.250495,26.868297,-16.262381,6.080415
0.020000,6.521785,10.489821,1.840063,9.780346,26.492535,-18.788086,6.058137
0.020000,6.721314,10.441740,2.045303,10.262024,24.083938,-120.429828,6.035423
0.020000,6.927307,10.387110,2.258417,10.655701,19.683855,-220.004144,6.012617
0.020000,7.137896,10.326113,2.477662,10.962243,15.327090,-217.838267,5.990047
0.020000,7.351282,10.259113,2.701319,11.182861,11.030872,-214.810903,5.968018
0.020000,7.565752,10.186640,2.927703,11.319191,6.816521,-210.717535,5.946800
0.020000,7.779691,10.109377,3.155167,11.373169,2.698901,-205.881036,5.926626
0.020000,7.991588,10.028132,3.382105,11.346906,-1.313156,-200.602825,5.907684
0.020000,8.200739,9.943522,3.607722,11.280864,-3.302115,-99.447934,5.890064
0.020000,8.407201,9.855898,3.832009,11.214366,-3.324901,-1.139343,5.873774
0.020000,8.611051,9.765598,4.054964,11.147738,-3.331386,-0.324245,5.858817
0.020000,8.812382,9.672950,4.276589,11.081236,-3.325115,0.313575,5.845191
0.020000,9.011299,9.578269,4.496890,11.015053,-3.309150,0.798229,5.832888
0.020000,9.207920,9.481857,4.715876,10.949322,-3.286541,1.130454,5.821901
0.020000,9.402369,9.384004,4.933559,10.884125,-3.259854,1.334369,5.812217
0.020000,9.594777,9.284989,5.149949,10.819498,-3.231343,1.425541,5.803827
0.020000,9.785277,9.185082,5.365058,10.755439,-3.202929,1.420708,5.796717
0.020000,9.974004,9.084540,5.578896,10.691915,-3.176213,1.335800,5.790879
0.020000,10.161096,8.983616,5.791473,10.628865,-3.152499,1.185673,5.786301
0.020000,10.346687,8.882552,6.002797,10.566208,-3.132871,0.981404,5.782977
0.020000,10.530911,8.781587,6.212874,10.503849,-3.117938,0.746683,5.780900
0.020000,10.713898,8.680953,6.421708,10.441682,-3.108336,0.480068,5.780067
0.020000,10.895776,8.580879,6.629300,10.379592,-3.104524,0.190632,5.780475
0.020000,11.076668,8.481590,6.835649,10.317461,-3.106543,-0.100977,5.782126
0.020000,11.256691,8.383309,7.040752,10.255175,-3.114278,-0.386764,5.785022
0.020000,11.435958,8.286258,7.244605,10.192626,-3.127447,-0.658413,5.789169
0.020000,11.614578,8.190658,7.447199,10.129710,-3.145811,-0.918203,5.794575
0.020000,11.792651,8.096730,7.648526,10.066342,-3.168421,-1.130500,5.801248
0.020000,11.970271,8.004693,7.848575,10.002454,-3.194397,-1.298816,5.809198
0.020000,12.147526,7.914769,8.047335,9.938003,-3.222535,-1.406892,5.818437
0.020000,12.324496,7.827180,8.244795,9.872976,-3.251344,-1.440439,5.828977
0.020000,12.501253,7.742145,8.440943,9.807396,-3.279023,-1.383956,5.840828
0.020000,12.677862,7.659886,8.635769,9.741327,-3.303425,-1.220092,5.854000
0.020000,12.854380,7.580622,8.829267,9.674885,-3.322106,-0.934079,5.868500
0.020000,13.030856,7.504572,9.021432,9.608239,-3.332289,-0.509134,5.884334
0.020000,13.207331,7.431951,9.212264,9.541625,-3.330719,0.078508,5.901499
0.020000,13.383837,7.362970,9.401771,9.475344,-3.314048,0.833559,5.919989
0.020000,13.560401,7.297835,9.589966,9.409770,-3.278682,1.768257,5.939791
0.020000,13.737043,7.236745,9.776873,9.345351,-3.220966,2.885804,5.960880
0.020000,13.913775,7.179889,9.962525,9.282604,-3.137344,4.181116,5.983224
0.020000,14.090605,7.127449,10.146968,9.222113,-3.024548,5.639815,6.006778
0.020000,14.267537,7.079592,10.330258,9.164515,-2.879907,7.232054,6.031483
0.020000,14.444571,7.036473,10.512468,9.110486,-2.701468,8.921950,6.057268
0.020000,14.621705,6.998233,10.693682,9.060718,-2.488378,10.654460,6.084048
0.020000,14.798934,6.964997,10.874000,9.015898,-2.241005,12.368660,6.111724
0.020000,14.976251,6.936873,11.053534,8.976676,-1.961091,13.995701,6.140184
0.020000,15.158876,6.912819,11.237736,9.210122,11.672289,681.669005,6.154800
0.020000,15.376053,6.883506,11.456882,10.957320,87.359901,3784.380586,6.143652
0.020000,15.590481,6.852400,11.673555,10.833609,-6.185547,-4677.272404,6.134979
0.020000,15.802367,6.820038,11.887898,10.717188,-5.821056,18.224589,6.128635
0.020000,16.011886,6.786916,12.100020,10.606057,-5.556536,13.225987,6.124514
0.020000,16.219176,6.753499,12.309986,10.498311,-5.387328,8.460382,6.122548
0.020000,16.424341,6.720235,12.517829,10.392162,-5.307448,3.994004,6.122705
0.020000,16.627446,6.687558,12.723547,10.285881,-5.314057,-0.330437,6.124987
0.020000,16.828524,6.655900,12.927101,10.177731,-5.407477,-4.671017,6.129433
0.020000,17.027563,6.625694,13.128419,10.065913,-5.590901,-9.171199,6.136114
0.020000,17.224510,6.597384,13.327390,9.948531,-5.869104,-13.910122,6.145143
0.020000,17.419257,6.571427,13.523860,9.823476,-6.252752,-19.182414,6.156673
0.020000,17.611640,6.548298,13.717628,9.688425,-6.752538,-24.989314,6.170903
0.020000,17.801424,6.528494,13.908443,9.540739,-7.384320,-31.589072,6.188086
0.020000,17.988293,6.512535,14.095992,9.377435,-8.165176,-39.042828,6.208534
0.020000,18.171831,6.500963,14.279895,9.195145,-9.114507,-47.466537,6.232626
0.020000,18.351511,6.494333,14.459696,8.990075,-10.253479,-56.948573,6.260819
