dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.535043,9.963956,0.000655,0.065536,3.276775,163.838756,0.001683
0.020000,4.535043,9.963956,0.003277,0.196607,6.553550,163.838756,0.001294
0.020000,4.535043,9.963956,0.008520,0.327678,6.553550,0.000000,0.000516
0.020000,4.539436,9.963955,0.016384,0.458749,6.553550,-0.000000,6.282533
0.020000,4.549922,9.963940,0.026870,0.589820,6.553550,0.000000,6.280976
0.020000,4.563029,9.963898,0.039977,0.720891,6.553550,-0.000000,6.279030
0.020000,4.578757,9.963815,0.055705,0.851962,6.553550,0.000000,6.276693
0.020000,4.597106,9.963670,0.074055,0.983033,6.553550,-0.000000,6.273967
0.020000,4.618076,9.963444,0.095026,1.114104,6.553550,0.000000,6.270851
0.020000,4.641666,9.963112,0.118619,1.245175,6.553550,0.000000,6.267345
0.020000,4.667877,9.962646,0.144833,1.376246,6.553550,0.000000,6.263448
0.020000,4.696706,9.962015,0.173669,1.507317,6.553550,0.000000,6.259162
0.020000,4.728152,9.961186,0.205126,1.638388,6.553550,0.000000,6.254486
0.020000,4.762213,9.960122,0.239205,1.769459,6.553550,0.000000,6.249421
0.020000,4.798889,9.958783,0.275904,1.900530,6.553550,-0.000000,6.243968
0.020000,4.838175,9.957126,0.315226,2.031601,6.553550,0.000000,6.238129
0.020000,4.880069,9.955107,0.357168,2.162672,6.553550,-0.000000,6.231904
0.020000,4.924567,9.952675,0.401733,2.293743,6.553550,-0.000000,6.225296
0.020000,4.971663,9.949781,0.448918,2.424814,6.553550,0.000000,6.218308
0.020000,5.021353,9.946369,0.498725,2.555885,6.553550,-0.000000,6.210943
0.020000,5.073630,9.942382,0.551154,2.686956,6.553550,0.000000,6.203205
0.020000,5.128485,9.937761,0.606203,2.818027,6.553550,0.000000,6.195100
0.020000,5.185910,9.932445,0.663875,2.949098,6.553550,0.000000,6.186632
0.020000,5.245896,9.926367,0.724167,3.080169,6.553550,-0.000000,6.177808
0.020000,5.308429,9.919463,0.787081,3.211240,6.553550,0.000000,6.168637
0.020000,5.373499,9.911663,0.852617,3.342311,6.553550,0.000000,6.159127
0.020000,5.441089,9.902896,0.920774,3.473382,6.553550,-0.000000,6.149288
0.020000,5.511185,9.893091,0.991552,3.604453,6.553550,-0.000000,6.139132
0.020000,5.583768,9.882174,1.064952,3.735524,6.553550,0.000000,6.128671
0.020000,5.658819,9.870070,1.140973,3.866595,6.553550,0.000000,6.117920
0.020000,5.736317,9.856704,1.219616,3.997666,6.553550,0.000000,6.106894
0.020000,5.816239,9.842000,1.300880,4.128737,6.553550,-0.000000,6.095611
0.020000,5.898561,9.825882,1.384765,4.259808,6.553550,0.000000,6.084089
0.020000,5.983256,9.808274,1.471272,4.390879,6.553550,0.000000,6.072348
0.020000,6.070297,9.789101,1.560400,4.521950,6.553550,0.000000,6.060411
0.020000,6.159654,9.768287,1.652150,4.653021,6.553550,0.000000,6.048301
0.020000,6.251297,9.745761,1.746521,4.784092,6.553550,0.000000,6.036042
0.020000,6.345192,9.721450,1.843514,4.915163,6.553550,0.000000,6.023662
0.020000,6.441308,9.695285,1.943128,5.046234,6.553550,0.000000,6.011187
0.020000,6.539609,9.667200,2.045363,5.177305,6.553550,0.000000,5.998646
0.020000,6.640061,9.637130,2.150220,5.308376,6.553550,-0.000000,5.986070
0.020000,6.742629,9.605016,2.257698,5.439447,6.553550,0.000000,5.973490
0.020000,6.847276,9.570801,2.367798,5.570518,6.553550,-0.000000,5.960937
0.020000,6.953968,9.534432,2.480519,5.701589,6.553550,0.000000,5.948445
0.020000,7.062670,9.495861,2.595861,5.832660,6.553550,0.000000,5.936047
0.020000,7.173347,9.455046,2.713825,5.963731,6.553550,0.000000,5.923776
0.020000,7.285966,9.411947,2.834410,6.094802,6.553550,0.000000,5.911668
0.020000,7.400497,9.366532,2.957617,6.225873,6.553550,0.000000,5.899756
0.020000,7.516908,9.318774,3.083445,6.356944,6.553550,-0.000000,5.888074
0.020000,7.635174,9.268652,3.211895,6.488015,6.553550,0.000000,5.876658
0.020000,7.755270,9.216150,3.342966,6.619086,6.553550,0.000000,5.865541
0.020000,7.877174,9.161259,3.476658,6.750157,6.553550,0.000000,5.854757
0.020000,8.000868,9.103978,3.612972,6.881228,6.553550,0.000000,5.844339
0.020000,8.126337,9.044310,3.751908,7.012299,6.553550,0.000000,5.834321
0.020000,8.253572,8.982265,3.893464,7.143370,6.553550,-0.000000,5.824736
0.020000,8.382566,8.917863,4.037642,7.274441,6.553550,0.000000,5.815616
0.020000,8.513318,8.851126,4.184442,7.405512,6.553550,-0.000000,5.806993
0.020000,8.645833,8.782088,4.333863,7.536583,6.553550,0.000000,5.798900
0.020000,8.780119,8.710786,4.485905,7.667654,6.553550,0.000000,5.791366
0.020000,8.916193,8.637268,4.640569,7.798725,6.553550,0.000000,5.784426
0.020000,9.054074,8.561589,4.797854,7.929796,6.553550,0.000000,5.778109
0.020000,9.193789,8.483810,4.957761,8.060867,6.553550,0.000000,5.772447
0.020000,9.335373,8.404001,5.120289,8.191938,6.553550,-0.000000,5.767474
0.020000,9.478864,8.322242,5.285438,8.323009,6.553550,0.000000,5.763221
0.020000,9.624310,8.238621,5.453209,8.454080,6.553550,-0.000000,5.759722
0.020000,9.771764,8.153234,5.623601,8.585151,6.553550,0.000000,5.757012
0.020000,9.921287,8.066190,5.796615,8.716222,6.553550,0.000000,5.755125
0.020000,10.072946,7.977605,5.972250,8.847293,6.553550,-0.000000,5.754100
0.020000,10.226817,7.887610,6.150507,8.978364,6.553550,0.000000,5.753974
0.020000,10.382982,7.796345,6.331385,9.109435,6.553550,0.000000,5.754789
0.020000,10.541530,7.703963,6.514884,9.240506,6.553550,-0.000000,5.756586
0.020000,10.702560,7.610633,6.701005,9.371577,6.553550,0.000000,5.759411
0.020000,10.866174,7.516538,6.889747,9.502648,6.553550,-0.000000,5.763310
0.020000,11.032485,7.421876,7.081111,9.633719,6.553550,0.000000,5.768334
0.020000,11.201609,7.326865,7.275096,9.764790,6.553550,0.000000,5.774534
0.020000,11.373670,7.231740,7.471703,9.895861,6.553550,-0.000000,5.781964
0.020000,11.548798,7.136757,7.670931,10.026932,6.553550,0.000000,5.790683
0.020000,11.727126,7.042194,7.872780,10.158003,6.553550,0.000000,5.800748
0.020000,11.908790,6.948354,8.077251,10.289074,6.553550,-0.000000,5.812219
0.020000,12.093928,6.855562,8.284343,10.420145,6.553550,0.000000,5.825158
0.020000,12.282680,6.764173,8.494056,10.551216,6.553550,-0.000000,5.839624
0.020000,12.475179,6.674568,8.706391,10.682287,6.553550,0.000000,5.855676
0.020000,12.671557,6.587157,8.921348,10.813358,6.553550,0.000000,5.873368
0.020000,12.871936,6.502380,9.138926,10.944429,6.553550,-0.000000,5.892749
0.020000,13.076423,6.420704,9.359125,11.075500,6.553550,0.000000,5.913860
0.020000,13.285110,6.342625,9.581946,11.206571,6.553550,-0.000000,5.936727
0.020000,13.498069,6.268666,9.807388,11.337642,6.553550,0.000000,5.961365
0.020000,13.715343,6.199369,10.035451,11.468713,6.553550,-0.000000,5.987767
0.020000,13.936311,6.135468,10.265481,11.534248,3.276775,-163.838756,6.015820
0.020000,14.159391,6.077851,10.495890,11.506622,-1.381314,-232.904460,6.045251
0.020000,14.382918,6.027210,10.725091,11.413460,-4.658089,-163.838756,6.075724
0.020000,14.605700,5.983917,10.952049,11.282389,-6.553550,-94.773051,6.106934
0.020000,14.827145,5.948076,11.176386,11.151318,-6.553550,0.000000,6.138640
0.020000,15.037834,5.920145,11.398102,11.020247,-6.553550,-0.000000,6.154379
0.020000,15.254939,5.890694,11.617196,10.889176,-6.553550,0.000000,6.142799
0.020000,15.469140,5.859419,11.833669,10.758105,-6.553550,-0.000000,6.134040
0.020000,15.680511,5.826946,12.047520,10.627034,-6.553550,0.000000,6.127848
0.020000,15.889129,5.793828,12.258750,10.495963,-6.553550,0.000000,6.124025
0.020000,16.095069,5.760564,12.467359,10.364892,-6.553550,-0.000000,6.122423
