dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.701600,8.700001,0.000707,0.070748,3.537415,176.870748,0.001600
0.020000,4.701186,8.700001,0.001121,0.020690,-2.502937,-302.017583,0.001186
0.020000,4.700255,8.700000,0.002052,0.046540,1.292544,189.774059,0.000255
0.020000,4.708175,8.699994,0.009971,0.395970,17.471464,808.945955,6.281786
0.020000,4.723277,8.699954,0.025074,0.755118,17.957426,24.298123,6.279201
0.020000,4.745024,8.699827,0.046821,1.087363,16.612252,-67.258722,6.275479
0.020000,4.774623,8.699523,0.076422,1.480051,19.634394,151.107133,6.270413
0.020000,4.812679,8.698913,0.114483,1.903026,21.148746,75.717611,6.263903
0.020000,4.859190,8.697831,0.161006,2.326159,21.156636,0.394479,6.255950
0.020000,4.914155,8.696076,0.215999,2.749674,21.175753,0.955868,6.246563
0.020000,4.977572,8.693409,0.279472,3.173642,21.198409,1.132794,6.235750
0.020000,5.049438,8.689557,0.351442,3.598491,21.242451,2.202083,6.223530
0.020000,5.129750,8.684211,0.431931,4.024476,21.299245,2.839682,6.209925
0.020000,5.218503,8.677029,0.520974,4.452141,21.383249,4.200237,6.194969
0.020000,5.315691,8.667635,0.618615,4.882047,21.495314,5.603249,6.178706
0.020000,5.421307,8.655622,0.724913,5.314864,21.640853,7.276941,6.161196
0.020000,5.535344,8.640556,0.839940,5.751366,21.825109,9.212791,6.142510
0.020000,5.657790,8.621976,0.963788,6.192423,22.052817,11.385426,6.122742
0.020000,5.788637,8.599400,1.096568,6.638979,22.327829,13.750595,6.102000
0.020000,5.927870,8.572329,1.238409,7.092034,22.652720,16.244544,6.080415
0.020000,6.075477,8.540254,1.389461,7.552602,23.028429,18.785441,6.058137
0.020000,6.230843,8.502813,1.549274,7.990656,21.902664,-56.288264,6.035423
0.020000,6.392748,8.459872,1.716777,8.375160,19.225225,-133.871920,6.012617
0.020000,6.559981,8.411430,1.890884,8.705365,16.510217,-135.750413,5.990047
0.020000,6.731332,8.357624,2.070484,8.979995,13.731518,-138.934930,5.968018
0.020000,6.905598,8.298732,2.254433,9.197424,10.871455,-143.003169,5.946800
0.020000,7.081586,8.235171,2.441547,9.355729,7.915229,-147.811316,5.926626
