dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.697922,10.699998,0.000707,0.070748,3.537415,176.870748,0.002078
0.020000,4.698412,10.699999,0.001198,0.024535,-2.310660,-292.403730,0.001588
0.020000,4.699516,10.700000,0.002302,0.055203,1.533377,192.201818,0.000484
0.020000,4.710012,10.699993,0.012798,0.524768,23.478269,1097.244596,6.281706
0.020000,4.730768,10.699930,0.033554,1.037814,25.652309,108.702042,6.278635
0.020000,4.760664,10.699728,0.063451,1.494851,22.851849,-140.023047,6.274208
0.020000,4.801366,10.699240,0.104156,2.035244,27.019633,208.389228,6.268170
0.020000,4.853709,10.698250,0.156508,2.617629,29.119258,104.981261,6.260389
0.020000,4.917695,10.696486,0.220518,3.200504,29.143728,1.223461,6.250855
0.020000,4.993318,10.693613,0.296196,3.783888,29.169245,1.275856,6.239557
0.020000,5.080562,10.689233,0.383550,4.367677,29.189423,1.008895,6.226489
0.020000,5.179389,10.682888,0.482581,4.951539,29.193102,0.183974,6.211648
0.020000,5.289737,10.674059,0.593281,5.535021,29.174116,-0.949291,6.195041
0.020000,5.411511,10.662170,0.715634,6.117630,29.130443,-2.183687,6.176686
0.020000,5.544573,10.646592,0.849605,6.698557,29.046341,-4.205098,6.156617
0.020000,5.688738,10.626653,0.995142,7.276857,28.915004,-6.566836,6.134887
0.020000,5.843758,10.601641,1.152167,7.851258,28.720072,-9.746594,6.111573
0.020000,6.009324,10.570823,1.320576,8.420456,28.459867,-13.010231,6.086778
0.020000,6.185053,10.533458,1.500234,8.982883,28.121370,-16.924863,6.060639
0.020000,6.370492,10.488815,1.690971,9.536866,27.699148,-21.111084,6.033324
0.020000,6.565118,10.436194,1.892585,10.080690,27.191173,-25.398783,6.005037
0.020000,6.767563,10.375191,2.104022,10.571846,24.557796,-131.668825,5.976123
0.020000,6.975689,10.305832,2.323400,10.968905,19.852994,-235.240110,5.947050
0.020000,7.187427,10.228392,2.548856,11.272780,15.193733,-232.963067,5.918267
0.020000,7.400822,10.143390,2.778556,11.485042,10.613088,-229.032234,5.890191
0.020000,7.614053,10.051571,3.010717,11.608035,6.149667,-223.171066,5.863193
0.020000,7.825460,9.953867,3.243609,11.644594,1.827923,-216.087161,5.837587
0.020000,8.033541,9.851366,3.475566,11.597873,-2.336048,-208.198593,5.813624
0.020000,8.237644,9.744901,3.705769,11.510120,-4.387615,-102.578316,5.791417
0.020000,8.437887,9.634955,3.934209,11.422017,-4.405187,-0.878633,5.770973
0.020000,8.634416,9.521988,4.160893,11.334179,-4.391875,0.665608,5.752286
0.020000,8.827408,9.406433,4.385834,11.247090,-4.354458,1.870852,5.735341
0.020000,9.017055,9.288696,4.609056,11.161087,-4.300161,2.714867,5.720117
0.020000,9.203563,9.169159,4.830584,11.076364,-4.236127,3.201716,5.706589
0.020000,9.387147,9.048182,5.050444,10.993005,-4.167959,3.408368,5.694727
0.020000,9.568026,8.926103,5.268665,10.911062,-4.097128,3.541576,5.684505
0.020000,9.746419,8.803240,5.485274,10.830434,-4.031420,3.285369,5.675896
0.020000,9.922546,8.679899,5.700294,10.751026,-3.970381,3.051953,5.668875
0.020000,10.096622,8.556368,5.913747,10.672663,-3.918155,2.611316,5.663421
0.020000,10.268858,8.432928,6.125650,10.595151,-3.875608,2.127337,5.659518
0.020000,10.439460,8.309847,6.336016,10.518265,-3.844308,1.565014,5.657153
0.020000,10.608624,8.187392,6.544851,10.441766,-3.824942,0.968312,5.656317
0.020000,10.776543,8.065819,6.752159,10.365404,-3.818130,0.340562,5.657009
0.020000,10.943399,7.945386,6.957938,10.288923,-3.824041,-0.295524,5.659231
0.020000,11.109364,7.826348,7.162179,10.212078,-3.842229,-0.909420,5.662989
0.020000,11.274605,7.708961,7.364871,10.134618,-3.873022,-1.539626,5.668297
0.020000,11.439274,7.593480,7.565998,10.056332,-3.914264,-2.062131,5.675170
0.020000,11.603519,7.480166,7.765538,9.977002,-3.966536,-2.613572,5.683629
0.020000,11.767471,7.369280,7.963468,9.896475,-4.026349,-2.990634,5.693699
0.020000,11.931254,7.261087,8.159760,9.814620,-4.092743,-3.319728,5.705405
0.020000,12.094980,7.155856,8.354387,9.731360,-4.163000,-3.512840,5.718777
0.020000,12.258749,7.053858,8.547322,9.646728,-4.231575,-3.428738,5.733840
0.020000,12.422647,6.955365,8.738537,9.560781,-4.297368,-3.289678,5.750622
0.020000,12.586750,6.860650,8.928012,9.473726,-4.352743,-2.768752,5.769145
0.020000,12.751120,6.769985,9.115730,9.385885,-4.392072,-1.966425,5.789424
0.020000,12.915811,6.683636,9.301684,9.297719,-4.408289,-0.810888,5.811466
0.020000,13.080862,6.601865,9.485881,9.209829,-4.394478,0.690573,5.835265
0.020000,13.246305,6.524922,9.668341,9.122999,-4.341505,2.648652,5.860800
0.020000,13.412164,6.453046,9.849104,9.038177,-4.241109,5.019811,5.888031
0.020000,13.578457,6.386457,10.028233,8.956467,-4.085483,7.781275,5.916895
0.020000,13.745198,6.325360,10.205816,8.879110,-3.867870,10.880681,5.947306
0.020000,13.912399,6.269934,10.381964,8.807440,-3.583487,14.219134,5.979150
0.020000,14.080074,6.220337,10.556821,8.742802,-3.231914,17.578651,6.012285
0.020000,14.248237,6.176704,10.730552,8.686566,-2.811788,21.006296,6.046545
0.020000,14.416904,6.139141,10.903351,8.639954,-2.330591,24.059850,6.081738
0.020000,14.586091,6.107733,11.075428,8.603877,-1.803874,26.335849,6.117650
0.020000,14.755815,6.082538,11.247013,8.579203,-1.233705,28.508438,6.154056
0.020000,14.926089,6.063592,11.418337,8.566228,-0.648758,29.247379,6.190722
0.020000,15.096918,6.050909,11.589636,8.564965,-0.063133,29.281255,6.227413
0.020000,15.268299,6.044480,11.761138,8.575100,0.506758,28.494539,6.263901
0.020000,15.467753,6.042646,11.960600,9.973086,69.899280,3469.626077,6.265646
0.020000,15.713043,6.033674,12.206055,12.272745,114.982944,2254.183192,6.228177
0.020000,15.953788,6.016312,12.447424,12.068471,-10.213681,-6259.831247,6.194796
0.020000,16.189805,5.991837,12.684708,11.864175,-10.214803,-0.056104,6.165504
0.020000,16.421073,5.961459,12.917963,11.662733,-10.072111,7.134619,6.140243
0.020000,16.647680,5.926307,13.147279,11.465844,-9.844444,11.383329,6.118922
0.020000,16.869787,5.887426,13.372764,11.274237,-9.580331,13.205673,6.101434
0.020000,17.087600,5.845781,13.594522,11.087883,-9.317735,13.129781,6.087675
0.020000,17.301339,5.802263,13.812646,10.906214,-9.083416,11.715969,6.077550
0.020000,17.511226,5.757701,14.027212,10.728289,-8.896270,9.357278,6.070984
0.020000,17.717469,5.712875,14.238270,10.552916,-8.768662,6.380439,6.067925
0.020000,17.920250,5.668521,14.445845,10.378759,-8.707812,3.042497,6.068350
0.020000,18.119719,5.625343,14.649934,10.204422,-8.716861,-0.452472,6.072262
0.020000,18.315986,5.584020,14.850504,10.028511,-8.795578,-3.935848,6.079691
0.020000,18.509120,5.545209,15.047498,9.849716,-8.939742,-7.208174,6.090696
0.020000,18.699141,5.509552,15.240836,9.666896,-9.140987,-10.062290,6.105356
0.020000,18.886025,5.477670,15.430420,9.479184,-9.385604,-12.230823,6.123770
0.020000,19.069699,5.450165,15.616142,9.286125,-9.652933,-13.366446,6.146043
0.020000,19.250052,5.427612,15.797900,9.087863,-9.913118,-13.009249,6.172281
0.020000,19.426937,5.410550,15.975606,8.885325,-10.126875,-10.687878,6.202568
0.020000,19.600193,5.399475,16.149216,8.680482,-10.242149,-5.763675,6.236949
0.020000,19.769661,5.394827,16.318747,8.476555,-10.196383,2.288280,6.275408
0.020000,19.935209,5.396984,16.484310,8.278139,-9.920784,13.779969,0.034647
0.020000,20.096767,5.406259,16.646134,8.091203,-9.346787,28.699842,0.080809
0.020000,20.254347,5.422902,16.804589,7.922776,-8.421353,46.271685,0.130337
0.020000,20.408059,5.447116,16.960197,7.780396,-7.119009,65.117202,0.182711
0.020000,20.558118,5.479066,17.113620,7.671120,-5.463791,82.760914,0.237269
0.020000,20.704816,5.518900,17.265630,7.600522,-3.529896,96.694735,0.293239
0.020000,20.848492,5.566751,17.417065,7.571730,-1.439616,104.514014,0.349784
0.020000,20.989477,5.622736,17.568759,7.584725,0.649771,104.469372,0.406069
0.020000,21.128057,5.686939,17.721489,7.636481,2.587769,96.899887,0.461320
0.020000,21.264436,5.759387,17.875917,7.721397,4.245807,82.901905,0.514873
0.020000,21.398729,5.840034,18.032564,7.832376,5.548934,65.156315,0.566209
0.020000,21.530963,5.928741,18.191797,7.961630,6.462728,45.689744,0.614960
0.020000,21.691901,6.044300,18.389925,9.906408,97.238910,4538.809067,0.620196
0.020000,21.865280,6.167419,18.602571,10.632308,36.294999,-3047.195520,0.615549
0.020000,22.035024,6.287381,18.810427,10.392793,-11.975769,-2413.538427,0.615694
0.020000,22.200558,6.404996,19.013490,10.153147,-11.982298,-0.326450,0.620630
0.020000,22.361274,6.520975,19.211685,9.909723,-12.171195,-9.444855,0.630435
0.020000,22.516524,6.635936,19.404864,9.658994,-12.536458,-18.263154,0.645254
0.020000,22.665606,6.750397,19.592819,9.397729,-13.063270,-26.340607,0.665296
0.020000,22.807770,6.864779,19.775284,9.123272,-13.722808,-32.976901,0.690825
0.020000,22.942227,6.979394,19.951963,8.833949,-14.466190,-37.169074,0.722139
0.020000,23.067813,7.094099,20.122049,8.504255,-16.484702,-100.925618,0.759411
0.020000,23.183133,7.208251,20.284312,8.113191,-19.553165,-153.423126,0.802526
0.020000,23.287128,7.321082,20.437758,7.672284,-22.045360,-124.609783,0.851068
