dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633450,9.668735,0.000707,0.070748,3.537415,176.870748,0.002060
0.020000,4.633450,9.668735,0.003537,0.212245,7.074830,176.870748,0.001575
0.020000,4.633450,9.668735,0.009905,0.424490,10.612245,176.870748,0.000483
0.020000,4.641955,9.668729,0.021224,0.707483,14.149660,176.870748,6.281726
0.020000,4.659641,9.668676,0.038912,1.061224,17.687075,176.870748,6.278690
0.020000,4.685110,9.668506,0.064381,1.485714,21.224490,176.870748,6.274311
0.020000,4.719775,9.668095,0.099048,1.980952,24.761905,176.870748,6.268341
0.020000,4.764339,9.667262,0.143619,2.476190,24.761905,0.000000,6.260650
0.020000,4.818794,9.665778,0.198095,2.971429,24.761905,0.000000,6.251227
0.020000,4.883129,9.663362,0.262476,3.466667,24.761905,0.000000,6.240064
0.020000,4.957323,9.659681,0.336762,3.961905,24.761905,-0.000000,6.227156
0.020000,5.041344,9.654350,0.420952,4.457143,24.761905,0.000000,6.212502
0.020000,5.135145,9.646936,0.515048,4.952381,24.761905,0.000000,6.196110
0.020000,5.238664,9.636954,0.619048,5.447619,24.761905,0.000000,6.178001
0.020000,5.351812,9.623874,0.732952,5.942857,24.761905,0.000000,6.158207
0.020000,5.474482,9.607125,0.856762,6.438095,24.761905,-0.000000,6.136784
0.020000,5.606530,9.586099,0.990476,6.933333,24.761905,0.000000,6.113807
0.020000,5.747783,9.560159,1.134095,7.428571,24.761905,-0.000000,6.089379
0.020000,5.898034,9.528650,1.287619,7.923810,24.761905,0.000000,6.063634
0.020000,6.057040,9.490908,1.451048,8.419048,24.761905,0.000000,6.036737
0.020000,6.224522,9.446276,1.624381,8.914286,24.761905,0.000000,6.008886
0.020000,6.399497,9.394326,1.806912,9.338776,21.224490,-176.870748,5.980419
0.020000,6.580312,9.334973,1.997224,9.692517,17.687075,-176.870748,5.951794
0.020000,6.765351,9.268334,2.193905,9.975510,14.149660,-176.870748,5.923448
0.020000,6.953063,9.194730,2.395537,10.187755,10.612245,-176.870748,5.895791
0.020000,7.141965,9.114679,2.600707,10.329252,7.074830,-176.870748,5.869184
0.020000,7.330660,9.028877,2.808000,10.400000,3.537415,-176.870748,5.843935
0.020000,7.517839,8.938179,3.016000,10.400000,0.000000,-176.870748,5.820291
0.020000,7.702903,8.843239,3.224000,10.400000,0.000000,0.000000,5.798363
0.020000,7.885927,8.744422,3.432000,10.400000,0.000000,0.000000,5.778159
0.020000,8.067005,8.642082,3.640000,10.400000,0.000000,0.000000,5.759674
0.020000,8.246252,8.536566,3.848000,10.400000,0.000000,0.000000,5.742894
0.020000,8.423794,8.428207,4.056000,10.400000,0.000000,0.000000,5.727799
0.020000,8.599774,8.317327,4.264000,10.400000,0.000000,0.000000,5.714364
0.020000,8.774341,8.204235,4.472000,10.400000,0.000000,0.000000,5.702565
0.020000,8.947655,8.089230,4.680000,10.400000,0.000000,0.000000,5.692373
0.020000,9.119881,7.972602,4.888000,10.400000,0.000000,0.000000,5.683763
0.020000,9.291188,7.854629,5.096000,10.400000,0.000000,0.000000,5.676713
0.020000,9.461751,7.735583,5.304000,10.400000,0.000000,0.000000,5.671201
0.020000,9.631747,7.615728,5.512000,10.400000,0.000000,0.000000,5.667211
0.020000,9.801355,7.495323,5.720000,10.400000,0.000000,0.000000,5.664731
0.020000,9.970754,7.374625,5.928000,10.400000,0.000000,0.000000,5.663753
0.020000,10.140126,7.253889,6.136000,10.400000,0.000000,0.000000,5.664273
0.020000,10.309651,7.133368,6.344000,10.400000,0.000000,0.000000,5.666293
0.020000,10.479509,7.013317,6.552000,10.400000,0.000000,0.000000,5.669820
0.020000,10.649880,6.893996,6.760000,10.400000,0.000000,0.000000,5.674865
0.020000,10.820941,6.775666,6.968000,10.400000,0.000000,0.000000,5.681443
0.020000,10.992868,6.658598,7.176000,10.400000,0.000000,0.000000,5.689574
0.020000,11.165831,6.543067,7.384000,10.400000,0.000000,0.000000,5.699279
0.020000,11.339998,6.429359,7.592000,10.400000,0.000000,0.000000,5.710585
0.020000,11.515529,6.317770,7.800000,10.400000,0.000000,0.000000,5.723517
0.020000,11.692579,6.208606,8.008000,10.400000,0.000000,0.000000,5.738101
0.020000,11.871290,6.102186,8.216000,10.400000,0.000000,0.000000,5.754364
0.020000,12.051796,5.998840,8.424000,10.400000,0.000000,0.000000,5.772326
0.020000,12.234214,5.898909,8.632000,10.400000,0.000000,0.000000,5.792004
0.020000,12.418645,5.802745,8.840000,10.400000,0.000000,0.000000,5.813405
0.020000,12.605171,5.710711,9.048000,10.400000,0.000000,0.000000,5.836526
0.020000,12.793849,5.623176,9.256000,10.400000,0.000000,0.000000,5.861349
0.020000,12.984710,5.540510,9.464000,10.400000,0.000000,0.000000,5.887840
0.020000,13.177755,5.463086,9.672000,10.400000,0.000000,0.000000,5.915943
0.020000,13.372955,5.391268,9.880000,10.400000,0.000000,0.000000,5.945579
0.020000,13.570244,5.325409,10.088000,10.400000,0.000000,0.000000,5.976645
0.020000,13.769523,5.265842,10.296000,10.400000,0.000000,0.000000,6.009012
0.020000,13.970655,5.212873,10.504000,10.400000,0.000000,0.000000,6.042524
0.020000,14.173472,5.166775,10.712000,10.400000,0.000000,0.000000,6.077003
0.020000,14.377773,5.127777,10.920000,10.400000,0.000000,0.000000,6.112249
0.020000,14.583329,5.096064,11.128000,10.400000,0.000000,0.000000,6.148047
0.020000,14.789893,5.071765,11.336000,10.400000,0.000000,0.000000,6.184173
0.020000,14.997202,5.054958,11.544000,10.400000,0.000000,0.000000,6.220400
0.020000,15.204982,5.045661,11.752000,10.400000,0.000000,0.000000,6.256507
0.020000,15.406172,5.043387,11.960000,10.400000,0.000000,0.000000,6.274099
0.020000,15.614074,5.037442,12.168000,10.400000,0.000000,0.000000,6.235771
0.020000,15.821627,5.023957,12.376000,10.400000,0.000000,0.000000,6.201522
0.020000,16.028639,5.003797,12.584000,10.400000,0.000000,0.000000,6.171368
0.020000,16.235005,4.977823,12.792000,10.400000,0.000000,0.000000,6.145260
0.020000,16.440687,4.946880,13.000000,10.400000,0.000000,0.000000,6.123113
0.020000,16.645702,4.911786,13.208000,10.400000,0.000000,0.000000,6.104823
0.020000,16.850115,4.873333,13.416000,10.400000,0.000000,0.000000,6.090282
0.020000,17.054023,4.832286,13.624000,10.400000,0.000000,0.000000,6.079395
0.020000,17.257550,4.789385,13.832000,10.400000,0.000000,0.000000,6.072080
