dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.702078,8.700002,0.000707,0.070748,3.537415,176.870748,0.002078
0.020000,4.701588,8.700001,0.001198,0.024535,-2.310660,-292.403730,0.001588
0.020000,4.700484,8.700000,0.002302,0.055203,1.533377,192.201818,0.000484
0.020000,4.707052,8.699995,0.008871,0.328431,13.661441,606.403218,6.281706
0.020000,4.721668,8.699951,0.023487,0.730795,20.118199,322.837906,6.278635
0.020000,4.742709,8.699808,0.044529,1.052090,16.064716,-202.674160,6.274208
0.020000,4.771336,8.699465,0.073158,1.431456,18.968324,145.180410,6.268170
0.020000,4.808121,8.698770,0.109949,1.839547,20.404545,71.811017,6.260389
0.020000,4.853045,8.697531,0.154890,2.247075,20.376374,-1.408535,6.250855
0.020000,4.906089,8.695516,0.207973,2.654119,20.352236,-1.206898,6.239557
0.020000,4.967229,8.692446,0.269189,3.060844,20.336237,-0.799922,6.226489
0.020000,5.036436,8.688003,0.338539,3.467466,20.331120,-0.255876,6.211648
0.020000,5.113677,8.681823,0.416026,3.874370,20.345151,0.701577,6.195041
0.020000,5.198915,8.673501,0.501670,4.282198,20.391436,2.314205,6.176686
0.020000,5.292113,8.662591,0.595504,4.691701,20.475151,4.185755,6.156617
0.020000,5.393228,8.648605,0.697582,5.103879,20.608881,6.686516,6.134887
0.020000,5.502215,8.631019,0.807979,5.519855,20.798803,9.496080,6.111573
0.020000,5.619030,8.609275,0.926800,5.941064,21.060470,13.083361,6.086778
0.020000,5.743625,8.582781,1.054181,6.369045,21.399037,16.928346,6.060639
0.020000,5.875953,8.550922,1.190290,6.805460,21.820762,21.086259,6.033324
0.020000,6.015966,8.513063,1.335331,7.252027,22.328311,25.377477,6.005037
0.020000,6.163044,8.468740,1.488943,7.680592,21.428264,-45.002384,5.976123
0.020000,6.316006,8.417759,1.650176,8.061690,19.054915,-118.667431,5.947050
0.020000,6.473681,8.360086,1.818068,8.394565,16.643740,-120.558736,5.918267
0.020000,6.634909,8.295857,1.991619,8.677551,14.149312,-124.721436,5.890191
0.020000,6.798547,8.225387,2.169785,8.908341,11.539508,-130.490195,5.863193
0.020000,6.963464,8.149161,2.351467,9.084083,8.787081,-137.621343,5.837587
0.020000,7.128551,8.067832,2.535500,9.201623,5.876994,-145.504332,5.813624
0.020000,7.293274,7.981902,2.721289,9.289450,4.391338,-74.282821,5.791417
0.020000,7.457672,7.891630,2.908841,9.377626,4.408807,0.873461,5.770973
0.020000,7.621798,7.797284,3.098151,9.465514,4.394423,-0.719208,5.752286
0.020000,7.785712,7.699134,3.289204,9.552652,4.356871,-1.877621,5.735341
0.020000,7.949489,7.597453,3.481979,9.638715,4.303162,-2.685433,5.720117
0.020000,8.113215,7.492514,3.676449,9.723489,4.238728,-3.221718,5.706589
0.020000,8.276989,7.384588,3.872586,9.806861,4.168574,-3.507687,5.694727
0.020000,8.440920,7.273943,4.070363,9.888856,4.099769,-3.440257,5.684505
0.020000,8.605131,7.160845,4.269753,9.969500,4.032198,-3.378515,5.675896
0.020000,8.769755,7.045557,4.470732,10.048935,3.971746,-3.022600,5.668875
0.020000,8.934936,6.928337,4.673278,10.127314,3.918946,-2.640022,5.663421
0.020000,9.100826,6.809443,4.877375,10.204840,3.876281,-2.133271,5.659518
0.020000,9.267591,6.689130,5.083009,10.281734,3.844697,-1.579186,5.657153
0.020000,9.435402,6.567654,5.290174,10.358237,3.825194,-0.975124,5.656317
0.020000,9.604442,6.445270,5.498866,10.434600,3.818145,-0.352472,5.657009
0.020000,9.774901,6.322237,5.709088,10.511075,3.823721,0.278786,5.659231
0.020000,9.946975,6.198819,5.920846,10.587917,3.842092,0.918548,5.662989
0.020000,10.120869,6.075285,6.134153,10.665356,3.871977,1.494287,5.668297
0.020000,10.296795,5.951914,6.349026,10.743636,3.913968,2.099544,5.675170
0.020000,10.474966,5.828994,6.565484,10.822935,3.964973,2.550245,5.683629
0.020000,10.655602,5.706827,6.783553,10.903440,4.025274,3.015053,5.693699
0.020000,10.838923,5.585733,7.003259,10.985267,4.091351,3.303834,5.705405
0.020000,11.025148,5.466046,7.224628,11.068472,4.160233,3.444107,5.718777
0.020000,11.214491,5.348125,7.447690,11.153086,4.230673,3.522017,5.733840
0.020000,11.407161,5.232348,7.672469,11.238978,4.294622,3.197453,5.750622
0.020000,11.603351,5.119120,7.898989,11.325970,4.349595,2.748622,5.769145
0.020000,11.803238,5.008872,8.127264,11.413748,4.388900,1.965264,5.789424
0.020000,12.006974,4.902060,8.357301,11.501860,4.405606,0.835292,5.811466
0.020000,12.214678,4.799166,8.589094,11.589678,4.390894,-0.735594,5.835265
0.020000,12.426431,4.700695,8.822623,11.676429,4.337543,-2.667553,5.860800
0.020000,12.642262,4.607172,9.057846,11.761170,4.237067,-5.023805,5.888031
0.020000,12.862148,4.519132,9.294702,11.842799,4.081447,-7.780976,5.916895
0.020000,13.085999,4.437118,9.533104,11.920080,3.864034,-10.870670,5.947306
0.020000,13.313653,4.361661,9.772938,11.991685,3.580263,-14.188532,5.979150
0.020000,13.544877,4.293276,10.014062,12.056213,3.226407,-17.692836,6.012285
0.020000,13.779362,4.232442,10.256310,12.112386,2.808663,-20.887156,6.046545
0.020000,14.016728,4.179585,10.499490,12.159007,2.331005,-23.882927,6.081738
0.020000,14.256530,4.135072,10.743388,12.194928,1.796077,-26.746382,6.117650
0.020000,14.498274,4.099189,10.987781,12.219627,1.234962,-28.055779,6.154056
0.020000,14.741426,4.072136,11.232433,12.232594,0.648341,-29.331043,6.190722
0.020000,14.985430,4.054019,11.477109,12.233823,0.061446,-29.344752,6.227413
0.020000,15.229733,4.044852,11.721584,12.223753,-0.503484,-28.246511,6.263901
0.020000,15.432676,4.042954,11.924536,10.147565,-103.809403,-5165.295935,6.265646
0.020000,15.603082,4.036700,12.095056,8.526036,-81.076442,1136.648065,6.228177
0.020000,15.777239,4.024120,12.269667,8.730555,10.225947,4565.119435,6.194796
0.020000,15.954986,4.005670,12.448369,8.935083,10.226394,0.022373,6.165504
0.020000,16.136162,3.981856,12.631103,9.136715,10.081586,-7.240404,6.140243
0.020000,16.320629,3.953228,12.817779,9.333758,9.852163,-11.471180,6.118922
0.020000,16.508284,3.920368,13.008289,9.525498,9.587006,-13.257811,6.101434
