dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.697832,10.699998,0.000707,0.070748,3.537415,176.870748,0.002168
0.020000,4.698318,10.699999,0.001193,0.024282,-2.323298,-293.035634,0.001682
0.020000,4.699410,10.700000,0.002286,0.054631,1.517447,192.037232,0.000590
0.020000,4.709238,10.699994,0.012113,0.491378,21.837356,1015.995453,6.281832
0.020000,4.729961,10.699934,0.032837,1.036161,27.239133,270.088833,6.278795
0.020000,4.759809,10.699738,0.062685,1.492415,22.812683,-221.322459,6.274416
0.020000,4.800441,10.699260,0.103320,2.031760,26.967277,207.729671,6.268448
0.020000,4.852688,10.698290,0.155576,2.612814,29.052703,104.271288,6.260763
0.020000,4.916550,10.696557,0.219462,3.194277,29.073130,1.021352,6.251353
0.020000,4.992019,10.693733,0.294983,3.776056,29.088956,0.791292,6.240212
0.020000,5.079070,10.689428,0.382140,4.357870,29.090696,0.087001,6.227341
0.020000,5.177660,10.683195,0.480928,4.939375,29.075243,-0.772614,6.212742
0.020000,5.287728,10.674525,0.591337,5.520437,29.053089,-1.107698,6.196427
0.020000,5.409172,10.662860,0.713339,6.100140,28.985178,-3.395575,6.178423
0.020000,5.541853,10.647588,0.846897,6.677864,28.886218,-4.947993,6.158768
0.020000,5.685586,10.628058,0.991951,7.252696,28.741574,-7.232200,6.137521
0.020000,5.840130,10.603584,1.148420,7.823492,28.539785,-10.089464,6.114762
0.020000,6.005182,10.573459,1.316198,8.388890,28.269927,-13.492880,6.090599
0.020000,6.180373,10.536972,1.495149,8.947556,27.933293,-16.831721,6.065166
0.020000,6.365273,10.493419,1.685109,9.497997,27.522033,-20.562991,6.038629
0.020000,6.559383,10.442128,1.885881,10.038595,27.029911,-24.606098,6.011184
0.020000,6.761371,10.382714,2.096426,10.527234,24.431972,-129.896925,5.983163
0.020000,6.969134,10.315202,2.314883,10.922868,19.781681,-232.514547,5.955011
0.020000,7.180646,10.239860,2.539413,11.226505,15.181854,-229.991367,5.927154
0.020000,7.393981,10.157183,2.768208,11.439751,10.662280,-225.978698,5.899985
0.020000,7.607345,10.067883,2.999506,11.564878,6.256356,-220.296191,5.873851
0.020000,7.819089,9.972851,3.231598,11.604590,1.985587,-213.538477,5.849045
0.020000,8.027718,9.873129,3.462835,11.561850,-2.136991,-206.128869,5.825803
0.020000,8.232573,9.769508,3.692406,11.478584,-4.163306,-101.315767,5.804227
0.020000,8.433764,9.662443,3.920311,11.395216,-4.168380,-0.253686,5.784319
0.020000,8.631426,9.552367,4.146556,11.312280,-4.146796,1.079199,5.766070
0.020000,8.825720,9.439687,4.371161,11.230211,-4.103463,2.166632,5.749463
0.020000,9.016823,9.324786,4.594146,11.149267,-4.047179,2.814227,5.734476
0.020000,9.204922,9.208025,4.815538,11.069604,-3.983165,3.200681,5.721082
0.020000,9.390215,9.089744,5.035365,10.991355,-3.912468,3.534824,5.709254
0.020000,9.572902,8.970263,5.253654,10.914461,-3.844686,3.389118,5.698964
0.020000,9.753185,8.849884,5.470433,10.838923,-3.776873,3.390646,5.690185
