dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.702168,8.700002,0.000707,0.070748,3.537415,176.870748,0.002168
0.020000,4.701682,8.700001,0.001193,0.024282,-2.323298,-293.035634,0.001682
0.020000,4.700590,8.700000,0.002286,0.054631,1.517447,192.037232,0.000590
0.020000,4.706532,8.699996,0.008228,0.297100,12.123412,530.298243,6.281832
0.020000,4.721180,8.699954,0.022877,0.732441,21.767082,482.183495,6.278795
0.020000,4.742271,8.699815,0.043968,1.054559,16.105878,-283.060174,6.274416
0.020000,4.770968,8.699477,0.072667,1.434961,19.020099,145.711043,6.268448
0.020000,4.807847,8.698792,0.109552,1.844258,20.464879,72.238989,6.260763
0.020000,4.852896,8.697570,0.154617,2.253263,20.450255,-0.731195,6.251353
0.020000,4.906099,8.695579,0.207858,2.662044,20.439007,-0.562376,6.240212
0.020000,4.967438,8.692546,0.269272,3.070698,20.432721,-0.314308,6.227341
0.020000,5.036889,8.688155,0.338862,3.479483,20.439248,0.326314,6.212742
0.020000,5.114430,8.682047,0.416643,3.889038,20.477757,1.925486,6.196427
0.020000,5.200030,8.673825,0.502637,4.299721,20.534138,2.819016,6.178423
0.020000,5.293660,8.663048,0.596885,4.712390,20.633440,4.965137,6.158768
0.020000,5.395286,8.649239,0.699445,5.128005,20.780790,7.367475,6.137521
0.020000,5.504874,8.631883,0.810398,5.547674,20.983452,10.133101,6.114762
0.020000,5.622385,8.610434,0.929851,5.972631,21.247830,13.218930,6.090599
0.020000,5.747781,8.584316,1.057938,6.404360,21.586431,16.930034,6.065166
0.020000,5.881022,8.552930,1.194826,6.844385,22.001244,20.740627,6.038629
0.020000,6.022064,8.515658,1.340710,7.294180,22.489787,24.427182,6.011184
0.020000,6.170288,8.472054,1.495214,7.725242,21.553092,-46.834787,5.983163
0.020000,6.324505,8.421937,1.657370,8.107770,19.126378,-121.335667,5.955011
0.020000,6.483532,8.365284,1.826187,8.440881,16.655559,-123.540975,5.927154
0.020000,6.646200,8.302238,2.000645,8.722888,14.100354,-127.760220,5.899985
0.020000,6.811347,8.233111,2.179676,8.951538,11.432480,-133.393708,5.873851
0.020000,6.977828,8.158387,2.362158,9.124120,8.629118,-140.168104,5.849045
0.020000,7.144516,8.078706,2.546912,9.237675,5.677761,-147.567860,5.825803
0.020000,7.310863,7.994557,2.733332,9.321014,4.166960,-75.540046,5.804227
0.020000,7.476903,7.906192,2.921421,9.404444,4.171490,0.226504,5.784319
0.020000,7.642677,7.813870,3.111169,9.487416,4.148590,-1.144990,5.766070
0.020000,7.808238,7.717848,3.302560,9.569551,4.106759,-2.091544,5.749463
0.020000,7.973650,7.618389,3.495571,9.650551,4.049984,-2.838781,5.734476
0.020000,8.138988,7.515753,3.690176,9.730226,3.983738,-3.312299,5.721082
0.020000,8.304340,7.410198,3.886347,9.808541,3.915753,-3.399238,5.709254
