dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633174,14.605021,0.000707,0.070748,3.537415,176.870748,0.000277
0.020000,4.633266,14.605021,0.000800,0.004627,-3.306090,-342.175241,0.000184
0.020000,4.634196,14.605021,0.001730,0.046475,2.092406,269.924794,6.283162
0.020000,4.645883,14.605019,0.013416,0.584344,26.893473,1240.053350,6.282795
0.020000,4.664138,14.605006,0.031672,0.912791,16.422346,-523.556346,6.282226
0.020000,4.690416,14.604971,0.057950,1.313887,20.054818,181.623613,6.281418
0.020000,4.726163,14.604888,0.093697,1.787334,23.672331,180.875649,6.280338
0.020000,4.772088,14.604726,0.139623,2.296294,25.447995,88.783169,6.278983
0.020000,4.828167,14.604445,0.195702,2.803976,25.384108,-3.194312,6.277380
0.020000,4.894368,14.604000,0.261904,3.310101,25.306245,-3.893184,6.275559
0.020000,4.970653,14.603341,0.338192,3.814392,25.214529,-4.585799,6.273557
0.020000,5.056979,14.602417,0.424523,4.316573,25.109089,-5.271985,6.271416
0.020000,5.153299,14.601174,0.520851,4.816374,24.990035,-5.952681,6.269183
0.020000,5.259557,14.599564,0.627121,5.313522,24.857412,-6.631172,6.266913
0.020000,5.375694,14.597541,0.743276,5.807757,24.711735,-7.283845,6.264662
0.020000,5.501646,14.595068,0.869253,6.298809,24.552591,-7.957204,6.262496
0.020000,5.637342,14.592119,1.004981,6.786414,24.380276,-8.615765,6.260482
0.020000,5.782708,14.588684,1.150387,7.270312,24.194870,-9.270307,6.258695
0.020000,5.937663,14.584768,1.305392,7.750234,23.996115,-9.937728,6.257214
0.020000,6.102124,14.580399,1.469910,8.225911,23.783836,-10.613947,6.256124
0.020000,6.276000,14.575631,1.643851,8.697068,23.557868,-11.298396,6.255516
0.020000,6.458491,14.570568,1.826413,9.128100,21.551583,-100.314273,6.255485
0.020000,6.648100,14.565364,2.016094,9.484024,17.796234,-187.767435,6.256117
0.020000,6.843345,14.560199,2.211406,9.765625,14.080047,-185.809336,6.257485
0.020000,7.042759,14.555276,2.410882,9.973767,10.407097,-183.647538,6.259642
0.020000,7.244897,14.550804,2.613069,10.109389,6.781097,-181.299993,6.262624
0.020000,7.448332,14.546995,2.816539,10.173483,3.204703,-178.819704,6.266447
0.020000,7.651652,14.544051,3.019881,10.167099,-0.319221,-176.196203,6.271105
0.020000,7.854157,14.542146,3.222395,10.125677,-2.071084,-87.593127,6.276591
0.020000,8.055835,14.541439,3.424074,10.083991,-2.084320,-0.661818,6.282911
0.020000,8.256675,14.542088,3.624915,10.042021,-2.098495,-0.708732,0.006885
0.020000,8.456658,14.544250,3.824910,9.999757,-2.113190,-0.734776,0.014889
0.020000,8.655765,14.548082,4.024054,9.957210,-2.127376,-0.709261,0.023744
0.020000,8.853973,14.553737,4.222342,9.914395,-2.140726,-0.667497,0.033456
0.020000,9.051252,14.561369,4.419769,9.871344,-2.152548,-0.591097,0.044028
0.020000,9.247572,14.571128,4.616331,9.828111,-2.161654,-0.455321,0.055464
0.020000,9.442897,14.583164,4.812027,9.784768,-2.167150,-0.274777,0.067768
0.020000,9.637188,14.597622,5.006855,9.741403,-2.168251,-0.055062,0.080938
0.020000,9.830402,14.614645,5.200817,9.698130,-2.163644,0.230339,0.094974
0.020000,10.022493,14.634373,5.393919,9.655088,-2.152095,0.577427,0.109871
0.020000,10.213412,14.656943,5.586168,9.612439,-2.132436,0.982958,0.125620
0.020000,10.403108,14.682484,5.777575,9.570370,-2.103466,1.448502,0.142210
0.020000,10.591526,14.711124,5.968157,9.529091,-2.063958,1.975405,0.159626
0.020000,10.778610,14.742981,6.157934,9.488838,-2.012666,2.564613,0.177847
0.020000,10.964302,14.778169,6.346931,9.449865,-1.948619,3.202338,0.196846
0.020000,11.148546,14.816795,6.535180,9.412445,-1.871035,3.879201,0.216594
0.020000,11.331282,14.858957,6.722717,9.376852,-1.779630,4.570239,0.237054
0.020000,11.512453,14.904747,6.909585,9.343395,-1.672836,5.339695,0.258183
0.020000,11.692002,14.954246,7.095832,9.312349,-1.552308,6.026424,0.279932
0.020000,11.869873,15.007526,7.281512,9.283997,-1.417623,6.734251,0.302248
0.020000,12.046013,15.064652,7.466684,9.258608,-1.269444,7.408949,0.325072
0.020000,12.220371,15.125675,7.651413,9.236427,-1.109046,8.019882,0.348339
0.020000,12.392898,15.190640,7.835765,9.217633,-0.939705,8.467079,0.371982
0.020000,12.563548,15.259579,8.019813,9.202415,-0.760892,8.940662,0.395929
0.020000,12.732277,15.332513,8.203631,9.190886,-0.576447,9.222232,0.420107
0.020000,12.899045,15.409454,8.387293,9.183080,-0.390294,9.307624,0.444441
0.020000,13.063816,15.490402,8.570874,9.179069,-0.200546,9.487440,0.468855
0.020000,13.220191,15.571939,8.747229,8.817753,-18.065818,-893.263624,0.495233
0.020000,13.333080,15.638757,8.878411,6.559100,-112.932647,-4743.341441,0.572019
0.020000,13.446485,15.717663,9.016567,6.907776,17.433830,6518.323851,0.641835
0.020000,13.560908,15.808996,9.162971,7.320210,20.621689,159.392950,0.703408
