dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633450,13.605021,0.000654,0.065393,3.269668,163.483421,0.000278
0.020000,4.633450,13.605021,0.003270,0.196180,6.539337,163.483421,0.000193
0.020000,4.633450,13.605021,0.008501,0.326967,6.539337,-0.000000,0.000022
0.020000,4.640616,13.605020,0.016348,0.457754,6.539337,0.000000,6.282952
0.020000,4.651079,13.605016,0.026811,0.588540,6.539337,0.000000,6.282614
0.020000,4.664157,13.605006,0.039890,0.719327,6.539337,-0.000000,6.282195
0.020000,4.679852,13.604986,0.055584,0.850114,6.539337,0.000000,6.281695
0.020000,4.698162,13.604954,0.073895,0.980901,6.539337,-0.000000,6.281119
0.020000,4.719088,13.604904,0.094820,1.111687,6.539337,0.000000,6.280468
0.020000,4.742629,13.604831,0.118362,1.242474,6.539337,0.000000,6.279746
0.020000,4.768786,13.604731,0.144519,1.373261,6.539337,0.000000,6.278956
0.020000,4.797559,13.604597,0.173292,1.504047,6.539337,0.000000,6.278103
0.020000,4.828947,13.604423,0.204681,1.634834,6.539337,0.000000,6.277190
0.020000,4.862951,13.604203,0.238686,1.765621,6.539337,-0.000000,6.276222
0.020000,4.899571,13.603929,0.275306,1.896408,6.539337,0.000000,6.275205
0.020000,4.938805,13.603595,0.314542,2.027194,6.539337,0.000000,6.274144
0.020000,4.980655,13.603194,0.356394,2.157981,6.539337,0.000000,6.273045
0.020000,5.025120,13.602717,0.400861,2.288768,6.539337,-0.000000,6.271914
0.020000,5.072200,13.602159,0.447945,2.419555,6.539337,0.000000,6.270758
0.020000,5.121895,13.601512,0.497644,2.550341,6.539337,-0.000000,6.269583
0.020000,5.174204,13.600769,0.549958,2.681128,6.539337,0.000000,6.268398
0.020000,5.229128,13.599924,0.604889,2.811915,6.539337,-0.000000,6.267210
0.020000,5.286666,13.598971,0.662435,2.942702,6.539337,0.000000,6.266027
0.020000,5.346819,13.597903,0.722597,3.073488,6.539337,-0.000000,6.264857
0.020000,5.409585,13.596716,0.785374,3.204275,6.539337,0.000000,6.263710
0.020000,5.474965,13.595406,0.850768,3.335062,6.539337,-0.000000,6.262594
0.020000,5.542959,13.593968,0.918777,3.465849,6.539337,0.000000,6.261520
0.020000,5.613567,13.592402,0.989402,3.596635,6.539337,-0.000000,6.260497
0.020000,5.686787,13.590704,1.062642,3.727422,6.539337,0.000000,6.259535
0.020000,5.762622,13.588876,1.138499,3.858209,6.539337,-0.000000,6.258646
0.020000,5.841069,13.586918,1.216971,3.988995,6.539337,0.000000,6.257840
0.020000,5.922130,13.584833,1.298058,4.119782,6.539337,-0.000000,6.257129
0.020000,6.005805,13.582626,1.381762,4.250569,6.539337,0.000000,6.256525
0.020000,6.092093,13.580303,1.468081,4.381356,6.539337,-0.000000,6.256039
0.020000,6.180995,13.577873,1.557016,4.512142,6.539337,0.000000,6.255685
0.020000,6.272510,13.575345,1.648567,4.642929,6.539337,0.000000,6.255476
0.020000,6.366641,13.572732,1.742733,4.773716,6.539337,0.000000,6.255424
0.020000,6.463386,13.570050,1.839515,4.904503,6.539337,0.000000,6.255545
0.020000,6.562746,13.567317,1.938913,5.035289,6.539337,-0.000000,6.255851
0.020000,6.664722,13.564553,2.040927,5.166076,6.539337,0.000000,6.256358
0.020000,6.769315,13.561782,2.145556,5.296863,6.539337,0.000000,6.257081
0.020000,6.876525,13.559032,2.252802,5.427650,6.539337,0.000000,6.258036
0.020000,6.986352,13.556333,2.362662,5.558436,6.539337,-0.000000,6.259238
0.020000,7.098799,13.553720,2.475139,5.689223,6.539337,0.000000,6.260705
0.020000,7.213864,13.551231,2.590231,5.820010,6.539337,0.000000,6.262453
0.020000,7.331549,13.548909,2.707939,5.950797,6.539337,0.000000,6.264500
0.020000,7.451854,13.546800,2.828263,6.081583,6.539337,-0.000000,6.266864
0.020000,7.574780,13.544957,2.951203,6.212370,6.539337,0.000000,6.269565
0.020000,7.700326,13.543436,3.076758,6.343157,6.539337,0.000000,6.272622
0.020000,7.828492,13.542298,3.204929,6.473943,6.539337,0.000000,6.276053
0.020000,7.959277,13.541612,3.335716,6.604730,6.539337,-0.000000,6.279881
0.020000,8.092679,13.541451,3.469118,6.735517,6.539337,0.000000,0.000941
0.020000,8.228696,13.541893,3.605136,6.866304,6.539337,0.000000,0.005626
0.020000,8.367326,13.543026,3.743770,6.997090,6.539337,0.000000,0.010772
0.020000,8.508562,13.544940,3.885020,7.127877,6.539337,-0.000000,0.016403
0.020000,8.652400,13.547737,4.028885,7.258664,6.539337,0.000000,0.022541
0.020000,8.798832,13.551521,4.175367,7.389451,6.539337,-0.000000,0.029212
0.020000,8.947849,13.556409,4.324463,7.520237,6.539337,0.000000,0.036440
0.020000,9.099438,13.562523,4.476176,7.651024,6.539337,0.000000,0.044249
0.020000,9.253585,13.569992,4.630504,7.781811,6.539337,-0.000000,0.052664
0.020000,9.410272,13.578956,4.787448,7.912598,6.539337,0.000000,0.061712
0.020000,9.569478,13.589562,4.947008,8.043384,6.539337,-0.000000,0.071416
0.020000,9.731178,13.601967,5.109184,8.174171,6.539337,0.000000,0.081802
0.020000,9.895341,13.616335,5.273975,8.304958,6.539337,-0.000000,0.092895
0.020000,10.061931,13.632841,5.441382,8.435745,6.539337,0.000000,0.104717
0.020000,10.230907,13.651668,5.611405,8.566531,6.539337,0.000000,0.117292
0.020000,10.402221,13.673006,5.784043,8.697318,6.539337,0.000000,0.130639
0.020000,10.575815,13.697055,5.959298,8.828105,6.539337,-0.000000,0.144778
0.020000,10.751627,13.724023,6.137168,8.958891,6.539337,0.000000,0.159726
0.020000,10.929583,13.754123,6.317653,9.089678,6.539337,0.000000,0.175495
0.020000,11.109601,13.787578,6.500755,9.220465,6.539337,0.000000,0.192095
0.020000,11.291585,13.824612,6.686472,9.351252,6.539337,0.000000,0.209530
0.020000,11.475433,13.865458,6.874805,9.482038,6.539337,0.000000,0.227802
0.020000,11.661027,13.910346,7.065753,9.612825,6.539337,0.000000,0.246903
0.020000,11.847609,13.959339,7.258664,9.678219,3.269668,-163.483421,0.266755
0.020000,12.033439,14.012154,7.451857,9.641067,-1.857551,-256.360974,0.287153
0.020000,12.216808,14.068370,7.643653,9.538523,-5.127219,-163.483421,0.307871
0.020000,12.396752,14.127658,7.833115,9.407736,-6.539337,-70.605868,0.328748
0.020000,12.572950,14.189825,8.019962,9.276950,-6.539337,-0.000000,0.349689
0.020000,12.745359,14.254748,8.204193,9.146163,-6.539337,0.000000,0.370631
0.020000,12.913944,14.322289,8.385809,9.015376,-6.539337,0.000000,0.391513
0.020000,13.078680,14.392304,8.564808,8.884589,-6.539337,0.000000,0.412276
0.020000,13.239546,14.464637,8.741192,8.753803,-6.539337,0.000000,0.432867
0.020000,13.396534,14.539129,8.914960,8.623016,-6.539337,0.000000,0.453234
0.020000,13.549643,14.615614,9.086113,8.492229,-6.539337,0.000000,0.473331
0.020000,13.694239,14.691439,9.254650,8.361442,-6.539337,0.000000,0.494716
0.020000,13.837715,14.774720,9.420571,8.230656,-6.539337,-0.000000,0.556506
0.020000,13.973825,14.864917,9.583876,8.099869,-6.539337,0.000000,0.613205
0.020000,14.102780,14.960761,9.744565,7.969082,-6.539337,0.000000,0.664296
0.020000,14.224948,15.061050,9.902639,7.838296,-6.539337,0.000000,0.709581
0.020000,14.340809,15.164686,10.058097,7.707509,-6.539337,-0.000000,0.749105
0.020000,14.450903,15.270694,10.210939,7.576722,-6.539337,0.000000,0.783079
