dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.633727,12.605021,0.000707,0.070748,3.537415,176.870748,0.000277
0.020000,4.633634,12.605021,0.000800,0.004627,-3.306090,-342.175241,0.000184
0.020000,4.634149,12.605021,0.001314,0.025712,1.054268,218.017886,6.283162
0.020000,4.645101,12.605019,0.012267,0.547626,26.095727,1252.072940,6.282795
0.020000,4.662220,12.605007,0.029385,0.855917,15.414532,-534.059732,6.282226
0.020000,4.686881,12.604974,0.054046,1.233054,18.856855,172.116146,6.281418
0.020000,4.720467,12.604896,0.087633,1.679330,22.313793,172.846926,6.280338
0.020000,4.763684,12.604744,0.130850,2.160848,24.075887,88.104662,6.278983
0.020000,4.816556,12.604479,0.183723,2.643642,24.139729,3.192123,6.277380
0.020000,4.879114,12.604058,0.246282,3.127994,24.217563,3.891689,6.275559
0.020000,4.951395,12.603434,0.318566,3.614179,24.309277,4.585726,6.273557
0.020000,5.033440,12.602555,0.400616,4.102474,24.414740,5.273118,6.271416
0.020000,5.125295,12.601370,0.492479,4.593150,24.533785,5.952279,6.269183
0.020000,5.227013,12.599828,0.594208,5.086473,24.666189,6.620176,6.266913
0.020000,5.338651,12.597884,0.705862,5.582717,24.812202,7.300673,6.264662
0.020000,5.460270,12.595496,0.827505,6.082142,24.971240,7.951858,6.262496
0.020000,5.591939,12.592635,0.959205,6.585012,25.143476,8.611810,6.260482
0.020000,5.733731,12.589284,1.101037,7.091592,25.329004,9.276419,6.258695
0.020000,5.885726,12.585442,1.253080,7.602147,25.527752,9.937404,6.257214
0.020000,6.048007,12.581131,1.415419,8.116946,25.739930,10.608905,6.256124
0.020000,6.220668,12.576397,1.588144,8.636266,25.966011,11.304036,6.255516
0.020000,6.403097,12.571336,1.770644,9.124962,24.434830,-76.559047,6.255485
0.020000,6.593970,12.566097,1.961589,9.547268,21.115291,-165.976977,6.256117
0.020000,6.791949,12.560860,2.159637,9.902402,17.756671,-167.930953,6.257485
0.020000,6.995677,12.555830,2.363427,10.189494,14.354642,-170.101471,6.259642
0.020000,7.203778,12.551226,2.571579,10.407612,10.905864,-172.438912,6.262624
0.020000,7.414856,12.547275,2.782694,10.555754,7.407124,-174.937016,6.266447
0.020000,7.627492,12.544197,2.995352,10.632885,3.856567,-177.527818,6.271105
0.020000,7.840968,12.542189,3.208838,10.674296,2.070525,-89.302095,6.276591
0.020000,8.055287,12.541439,3.423157,10.715975,2.083936,0.670524,6.282911
0.020000,8.270444,12.542135,3.638316,10.757937,2.098109,0.708666,0.006885
0.020000,8.486435,12.544472,3.854320,10.800186,2.112440,0.716563,0.014889
0.020000,8.703249,12.548646,4.071174,10.842722,2.126813,0.718660,0.023744
0.020000,8.920871,12.554857,4.288885,10.885525,2.140170,0.667838,0.033456
0.020000,9.139279,12.563307,4.507456,10.928558,2.151647,0.573819,0.044028
0.020000,9.358444,12.574204,4.726891,10.971773,2.160730,0.454153,0.055464
0.020000,9.578329,12.587755,4.947193,11.015101,2.166397,0.283361,0.067768
0.020000,9.798888,12.604169,5.168362,11.058447,2.167307,0.045519,0.080938
0.020000,10.020065,12.623658,5.390396,11.101698,2.162547,-0.238033,0.094974
0.020000,10.241792,12.646433,5.613291,11.144718,2.150983,-0.578174,0.109871
0.020000,10.463992,12.672703,5.837038,11.187344,2.131323,-0.983005,0.125620
0.020000,10.686571,12.702674,6.061625,11.229390,2.102280,-1.452141,0.142210
0.020000,10.909424,12.736550,6.287038,11.270643,2.062653,-1.981365,0.159626
0.020000,11.132431,12.774527,6.513256,11.310871,2.011415,-2.561880,0.177847
0.020000,11.355457,12.816792,6.740252,11.349821,1.947481,-3.196720,0.196846
0.020000,11.578356,12.863525,6.967996,11.387219,1.869925,-3.877806,0.216594
0.020000,11.800962,12.914889,7.196452,11.422774,1.777734,-4.609543,0.237054
0.020000,12.023100,12.971036,7.425576,11.456216,1.672118,-5.280790,0.258183
0.020000,12.244582,13.032097,7.655321,11.487239,1.551136,-6.049117,0.279932
0.020000,12.465207,13.098187,7.885632,11.515564,1.416235,-6.745051,0.302248
0.020000,12.684767,13.169396,8.116451,11.540933,1.268489,-7.387270,0.325072
0.020000,12.903046,13.245794,8.347713,11.563117,1.109178,-7.965588,0.348339
0.020000,13.119824,13.327423,8.579351,11.581877,0.937997,-8.559035,0.371982
0.020000,13.334880,13.414302,8.811292,11.597082,0.760262,-8.886735,0.395929
0.020000,13.547994,13.506423,9.043465,11.608613,0.576537,-9.186270,0.420107
0.020000,13.758952,13.603751,9.275792,11.616368,0.387776,-9.438034,0.444441
0.020000,13.967547,13.706229,9.508200,11.620420,0.202596,-9.259021,0.468855
0.020000,14.170664,13.812223,9.737311,11.455503,-8.245847,-422.422134,0.495233
0.020000,14.415742,13.957137,10.022026,14.235776,139.013657,7362.975223,0.572019
