dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.733262,18.541306,0.000707,0.070748,3.537415,176.870748,6.281781
0.020000,4.732947,18.541307,0.001022,0.015741,-2.750347,-314.388089,6.282096
0.020000,4.732239,18.541307,0.001730,0.035400,0.982943,186.664511,6.282804
0.020000,4.738870,18.541311,0.008362,0.331567,14.808358,691.270735,0.000876
0.020000,4.754594,18.541340,0.024086,0.786215,22.732393,396.201746,0.002839
0.020000,4.777243,18.541436,0.046735,1.132445,17.311493,-271.044978,0.005659
0.020000,4.808080,18.541670,0.077573,1.541898,20.472629,158.056793,0.009488
0.020000,4.847744,18.542143,0.117239,1.983312,22.070721,79.904569,0.014393
0.020000,4.896245,18.542986,0.165748,2.425457,22.107266,1.827264,0.020360
0.020000,4.953600,18.544356,0.223119,2.868534,22.153825,2.327975,0.027370
0.020000,5.019822,18.546435,0.289374,3.312742,22.210426,2.830035,0.035401
0.020000,5.094929,18.549435,0.364541,3.758367,22.281210,3.539187,0.044424
0.020000,5.178941,18.553591,0.448655,4.205701,22.366701,4.274552,0.054404
0.020000,5.271876,18.559161,0.541757,4.655084,22.469170,5.123468,0.065302
0.020000,5.373754,18.566427,0.643894,5.106854,22.588507,5.966824,0.077069
0.020000,5.484596,18.575691,0.755122,5.561410,22.727780,6.963666,0.089650
0.020000,5.604421,18.587271,0.875506,6.019177,22.888335,8.027720,0.102980
0.020000,5.733249,18.601501,1.005118,6.480602,23.071251,9.145836,0.116986
0.020000,5.871100,18.618727,1.144040,6.946121,23.275970,10.235938,0.131586
0.020000,6.017989,18.639305,1.292364,7.416184,23.503160,11.359484,0.146689
0.020000,6.173935,18.663590,1.450189,7.891264,23.753989,12.541475,0.162196
0.020000,6.338315,18.691828,1.616977,8.339398,22.406711,-67.363902,0.177937
0.020000,6.509868,18.724088,1.791537,8.727977,19.428958,-148.887668,0.193688
0.020000,6.687327,18.760343,1.972661,9.056236,16.412922,-150.801796,0.209242
0.020000,6.869422,18.800471,2.159126,9.323216,13.349031,-153.194533,0.224408
0.020000,7.054882,18.844245,2.349682,9.527820,10.230186,-155.942238,0.239020
0.020000,7.242435,18.891347,2.543059,9.668836,7.050784,-158.970140,0.252934
0.020000,7.430806,18.941370,2.737958,9.744985,3.807463,-162.166049,0.266033
0.020000,7.619363,18.994007,2.933725,9.788332,2.167371,-82.004602,0.278265
0.020000,7.808119,19.049108,3.130359,9.831689,2.167819,0.022433,0.289631
0.020000,7.997089,19.106520,3.327858,9.874962,2.163640,-0.208971,0.300130
0.020000,8.186294,19.166091,3.526220,9.918079,2.155871,-0.388444,0.309768
0.020000,8.375759,19.227668,3.725439,9.960988,2.145466,-0.520252,0.318548
0.020000,8.565512,19.291095,3.925512,10.003654,2.133287,-0.608936,0.326474
0.020000,8.755587,19.356218,4.126434,10.046054,2.120005,-0.664091,0.333553
0.020000,8.946018,19.422884,4.328197,10.088185,2.106536,-0.673480,0.339789
0.020000,9.136848,19.490937,4.530798,10.130052,2.093376,-0.658003,0.345187
0.020000,9.328119,19.560224,4.734232,10.171671,2.080919,-0.622836,0.349754
0.020000,9.519877,19.630589,4.938493,10.213064,2.069658,-0.563056,0.353492
0.020000,9.712173,19.701879,5.143578,10.254263,2.059943,-0.485724,0.356407
0.020000,9.905059,19.773937,5.349484,10.295304,2.052057,-0.394325,0.358501
0.020000,10.098590,19.846607,5.556209,10.336228,2.046190,-0.293325,0.359776
0.020000,10.292822,19.919733,5.763750,10.377080,2.042614,-0.178843,0.360235
0.020000,10.487815,19.993156,5.972109,10.417906,2.041295,-0.065921,0.359877
0.020000,10.683628,20.066717,6.181284,10.458751,2.042264,0.048467,0.358702
0.020000,10.880325,20.140254,6.391277,10.499662,2.045532,0.163392,0.356708
0.020000,11.077966,20.213604,6.602090,10.540682,2.051017,0.274231,0.353895
0.020000,11.276616,20.286600,6.813728,10.581855,2.058654,0.381848,0.350257
0.020000,11.476338,20.359073,7.026192,10.623218,2.068125,0.473543,0.345793
0.020000,11.677194,20.430850,7.239488,10.664799,2.079061,0.546795,0.340497
0.020000,11.879247,20.501755,7.453620,10.706625,2.091323,0.613104,0.334364
0.020000,12.082556,20.571608,7.668595,10.748714,2.104421,0.654903,0.327389
0.020000,12.287179,20.640224,7.884416,10.791071,2.117858,0.671856,0.319567
0.020000,12.493172,20.707415,8.101090,10.833692,2.131053,0.659739,0.310893
0.020000,12.700585,20.772986,8.318621,10.876559,2.143335,0.614130,0.301361
0.020000,12.909465,20.836739,8.537014,10.919638,2.153945,0.530472,0.290967
0.020000,13.119853,20.898470,8.756271,10.962878,2.162028,0.404164,0.279708
0.020000,13.331783,20.957972,8.976396,11.006211,2.166642,0.230692,0.267583
0.020000,13.545281,21.015031,9.197387,11.049546,2.166759,0.005880,0.254590
0.020000,13.760363,21.069430,9.419242,11.092772,2.161282,-0.273858,0.240733
0.020000,13.977037,21.120950,9.641957,11.135752,2.149003,-0.613986,0.226016
0.020000,14.195298,21.169367,9.865524,11.178328,2.128783,-1.010976,0.210447
0.020000,14.415128,21.214457,10.089930,11.220315,2.099374,-1.470442,0.194038
0.020000,14.636495,21.255995,10.315160,11.261507,2.059583,-1.989550,0.176805
0.020000,14.859351,21.293756,10.541194,11.301672,2.008286,-2.564852,0.158769
0.020000,15.083636,21.327520,10.768005,11.340562,1.944480,-3.190303,0.139954
0.020000,15.309267,21.357071,10.995563,11.377909,1.867342,-3.856925,0.120392
0.020000,15.536148,21.382200,11.223832,11.413435,1.776290,-4.552575,0.100119
0.020000,15.764165,21.402708,11.452769,11.446856,1.671053,-5.261838,0.079178
0.020000,15.993185,21.418407,11.682327,11.477890,1.551731,-5.966118,0.057616
0.020000,16.223061,21.429125,11.912452,11.506267,1.418852,-6.643943,0.035486
0.020000,16.453627,21.434706,12.143085,11.531665,1.269883,-7.448450,0.012847
0.020000,16.684706,21.435015,12.374164,11.553959,1.114696,-7.759367,6.272948
0.020000,16.916107,21.429936,12.605622,11.572875,0.945798,-8.444877,6.249485
0.020000,17.147632,21.419379,12.837387,11.588247,0.768619,-8.858948,6.225715
0.020000,17.379072,21.403278,13.069386,11.599978,0.586520,-9.104974,6.201709
0.020000,17.564415,21.387118,13.255432,9.302291,-114.884357,-5773.543828,6.218632
0.020000,17.697504,21.383871,13.388561,6.656439,-132.292589,-870.411615,0.010287
0.020000,17.849401,21.389979,13.540581,7.601001,47.228100,8976.034473,0.066247
0.020000,18.015903,21.404681,13.707731,8.357513,37.825612,-470.124415,0.107085
0.020000,18.194067,21.426601,13.887238,8.975360,30.892334,-346.663928,0.135572
0.020000,18.382038,21.454140,14.077215,9.498849,26.174451,-235.894132,0.153593
0.020000,18.578821,21.485639,14.276504,9.964431,23.279119,-144.766610,0.162304
0.020000,18.784116,21.519402,14.484557,10.402649,21.910903,-68.410795,0.162251
0.020000,18.998216,21.553636,14.701376,10.840968,21.915935,0.251592,0.153431
0.020000,19.221976,21.586336,14.927514,11.306857,23.294473,68.926908,0.135291
0.020000,19.456840,21.615086,15.164130,11.830826,26.198436,145.198174,0.106667
0.020000,19.704882,21.636748,15.413117,12.449337,30.925531,236.354760,0.065663
0.020000,19.968816,21.646964,15.677248,13.206557,37.861014,346.774112,0.009497
0.020000,20.251746,21.639391,15.960279,14.151547,47.249481,469.423366,6.217585
0.020000,20.556192,21.604713,16.266694,15.320754,58.460358,560.543848,6.119045
0.020000,20.880728,21.530270,16.599658,16.648215,66.373070,395.635613,5.993403
0.020000,21.214673,21.402850,16.957087,17.871437,61.161087,-260.599162,5.841547
0.020000,21.535709,21.216725,17.328175,18.554412,34.148751,-1350.616801,5.672896
0.020000,21.817188,20.982165,17.694575,18.319993,-11.720948,-2293.484953,5.504485
0.020000,22.042826,20.722502,18.038577,17.200117,-55.993777,-2213.641464,5.352708
0.020000,22.212705,20.460847,18.350542,15.598241,-80.093846,-1205.003411,5.225804
0.020000,22.336607,20.211747,18.628755,13.910629,-84.380555,-214.335454,5.124043
0.020000,22.426166,19.981290,18.876003,12.362387,-77.412104,348.422511,5.043645
0.020000,22.491121,19.770407,19.096663,11.033007,-66.469025,547.153960,4.979960
0.020000,22.538504,19.578139,19.294683,9.901031,-56.598789,493.511789,4.929025
0.020000,22.573188,19.403165,19.473061,8.918880,-49.107534,374.562789,4.887838
0.020000,22.598567,19.244247,19.633993,8.046596,-43.614219,274.665731,4.854195
0.020000,22.617054,19.100323,19.779100,7.255359,-39.561836,202.619127,4.826478
0.020000,22.630397,18.970545,19.909562,6.523082,-36.613844,147.399607,4.803501
0.020000,22.639891,18.854232,20.026262,5.835012,-34.403535,110.515467,4.784382
0.020000,22.646512,18.750841,20.129864,5.180121,-32.744550,82.949240,4.768460
0.020000,22.651006,18.659954,20.220863,4.549919,-31.510096,61.722688,4.755235
0.020000,22.653947,18.581232,20.299640,3.938845,-30.553672,47.821243,4.744325
0.020000,22.655783,18.514407,20.366490,3.342511,-29.816707,36.848236,4.735438
0.020000,22.656858,18.459269,20.421638,2.757410,-29.255054,28.082666,4.728351
0.020000,22.657434,18.415666,20.465245,2.180343,-28.853349,20.085239,4.722899
0.020000,22.657712,18.382954,20.497958,1.635651,-27.234617,80.936606,4.718893
0.020000,22.657831,18.359725,20.521187,1.161468,-23.709155,176.273095,4.716092
0.020000,22.657874,18.344324,20.536588,0.770034,-19.571686,206.873433,4.714254
0.020000,22.657886,18.335123,20.545790,0.460086,-15.497410,203.713784,4.713163
0.020000,22.657888,18.330499,20.550413,0.231183,-11.445157,202.612661,4.712617
0.020000,22.657888,18.328848,20.552065,0.082573,-7.430485,200.733612,4.712422
0.020000,22.657888,18.328565,20.552348,0.014143,-3.421485,200.449972,4.712389
0.020000,22.657888,18.328565,20.552348,0.000000,-0.707162,135.716180,4.712389
