dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.698180,16.300002,0.000707,0.070748,3.537415,176.870748,6.281365
0.020000,4.698563,16.300001,0.001091,0.019174,-2.578712,-305.806343,6.281749
0.020000,4.699426,16.300000,0.001954,0.043132,1.197891,188.830155,6.282611
0.020000,4.708042,16.300004,0.010569,0.430779,19.382361,909.223466,0.000959
0.020000,4.728123,16.300047,0.030651,1.004096,28.665824,464.173166,0.003354
0.020000,4.757041,16.300194,0.059569,1.445917,22.091088,-328.736808,0.006803
0.020000,4.796398,16.300554,0.098928,1.967919,26.100067,200.448953,0.011496
0.020000,4.846996,16.301288,0.149531,2.530161,28.112123,100.602815,0.017527
0.020000,4.908824,16.302600,0.211373,3.092082,28.096062,-0.803034,0.024893
0.020000,4.981869,16.304737,0.284449,3.653829,28.087355,-0.435349,0.033588
0.020000,5.066106,16.307990,0.368749,4.214968,28.056905,-1.522502,0.043603
0.020000,5.161501,16.312693,0.464260,4.775547,28.028984,-1.396080,0.054924
0.020000,5.268003,16.319223,0.570962,5.335122,27.978748,-2.511765,0.067532
0.020000,5.385542,16.327992,0.688828,5.893299,27.908848,-3.495029,0.081399
0.020000,5.514026,16.339451,0.817822,6.449684,27.819227,-4.481066,0.096489
0.020000,5.653335,16.354081,0.957897,7.003744,27.703008,-5.810916,0.112756
0.020000,5.803319,16.372389,1.108994,7.554874,27.556525,-7.324159,0.130141
0.020000,5.963795,16.394901,1.271041,8.102363,27.374420,-9.105235,0.148572
0.020000,6.134544,16.422157,1.443952,8.645555,27.159624,-10.739794,0.167962
0.020000,6.315309,16.454699,1.627623,9.183541,26.899264,-13.018006,0.188207
0.020000,6.505796,16.493063,1.821934,9.715564,26.601152,-14.905632,0.209189
0.020000,6.704906,16.537585,2.025961,10.201346,24.289127,-115.601231,0.230689
0.020000,6.910774,16.588314,2.237987,10.601288,19.997104,-214.601151,0.252406
0.020000,7.121570,16.645134,2.456308,10.916017,15.736440,-213.033192,0.274051
0.020000,7.335521,16.707763,2.679236,11.146430,11.520627,-210.790648,0.295351
0.020000,7.550919,16.775760,2.905112,11.293809,7.368958,-207.583470,0.316061
0.020000,7.766139,16.848540,3.132305,11.359657,3.292410,-203.827373,0.335966
0.020000,7.979643,16.925389,3.359218,11.345650,-0.700339,-199.637461,0.354882
0.020000,8.190693,17.005766,3.585056,11.291883,-2.688345,-99.400312,0.372723
