dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.701273,18.299999,0.000707,0.070748,3.537415,176.870748,6.281912
0.020000,4.701050,18.299999,0.000931,0.011180,-2.978406,-325.791071,6.282135
0.020000,4.700547,18.300000,0.001434,0.025147,0.698344,183.837524,6.282638
0.020000,4.704047,18.300001,0.004934,0.174988,7.492028,339.684175,0.000347
0.020000,4.720339,18.300018,0.021226,0.814603,31.980748,1224.436038,0.001742
0.020000,4.743801,18.300082,0.044688,1.173129,17.926313,-702.721770,0.003748
0.020000,4.775740,18.300245,0.076628,1.596987,21.192892,163.328933,0.006475
0.020000,4.816813,18.300583,0.117702,2.053678,22.834557,82.083270,0.009973
0.020000,4.867021,18.301191,0.167914,2.510619,22.847051,0.624688,0.014237
0.020000,4.926373,18.302185,0.227274,2.967997,22.868904,1.092659,0.019258
0.020000,4.994872,18.303702,0.295790,3.425815,22.890888,1.099180,0.025027
0.020000,5.072527,18.305899,0.373476,3.884279,22.923208,1.616044,0.031532
0.020000,5.159342,18.308952,0.460345,4.343443,22.958205,1.749841,0.038758
0.020000,5.255323,18.313056,0.556413,4.803425,22.999084,2.043927,0.046689
0.020000,5.360475,18.318424,0.661703,5.264472,23.052368,2.664223,0.055304
0.020000,5.474803,18.325286,0.776236,5.726656,23.109212,2.842181,0.064580
0.020000,5.598308,18.333889,0.900040,6.190202,23.177297,3.404243,0.074490
0.020000,5.730990,18.344494,1.033146,6.655293,23.254563,3.863316,0.085002
0.020000,5.872851,18.357376,1.175590,7.122205,23.345558,4.549745,0.096081
0.020000,6.023885,18.372820,1.327411,7.591068,23.443184,4.881301,0.107688
0.020000,6.184086,18.391122,1.488655,8.062187,23.555927,5.637135,0.119776
0.020000,6.352793,18.412499,1.658711,8.502798,22.030587,-76.266987,0.132250
0.020000,6.528687,18.437041,1.836309,8.879904,18.855274,-158.765623,0.144963
0.020000,6.710448,18.464772,2.020173,9.193201,15.664834,-159.522041,0.157778
