dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.731857,17.344493,0.000654,0.065355,3.267756,163.387820,6.281749
0.020000,4.731857,17.344493,0.003268,0.196065,6.535513,163.387820,6.281973
0.020000,4.731857,17.344493,0.008496,0.326776,6.535513,0.000000,6.282419
0.020000,4.731857,17.344493,0.016339,0.457486,6.535513,0.000000,6.283088
0.020000,4.741174,17.344497,0.026796,0.588196,6.535513,0.000000,0.000794
0.020000,4.754245,17.344515,0.039867,0.718906,6.535513,-0.000000,0.001907
0.020000,4.769930,17.344555,0.055552,0.849617,6.535513,0.000000,0.003242
0.020000,4.788230,17.344628,0.073851,0.980327,6.535513,0.000000,0.004797
0.020000,4.809143,17.344747,0.094765,1.111037,6.535513,-0.000000,0.006572
0.020000,4.832670,17.344925,0.118293,1.241747,6.535513,0.000000,0.008565
0.020000,4.858811,17.345178,0.144435,1.372458,6.535513,-0.000000,0.010776
0.020000,4.887565,17.345523,0.173191,1.503168,6.535513,0.000000,0.013202
0.020000,4.918932,17.345979,0.204562,1.633878,6.535513,-0.000000,0.015843
0.020000,4.952912,17.346566,0.238546,1.764588,6.535513,0.000000,0.018697
0.020000,4.989503,17.347306,0.275145,1.895299,6.535513,-0.000000,0.021761
0.020000,5.028705,17.348223,0.314358,2.026009,6.535513,0.000000,0.025034
0.020000,5.070518,17.349343,0.356185,2.156719,6.535513,0.000000,0.028514
0.020000,5.114938,17.350692,0.400627,2.287429,6.535513,0.000000,0.032197
0.020000,5.161967,17.352298,0.447683,2.418140,6.535513,0.000000,0.036081
0.020000,5.211601,17.354191,0.497353,2.548850,6.535513,0.000000,0.040164
0.020000,5.263838,17.356402,0.549637,2.679560,6.535513,0.000000,0.044441
0.020000,5.318676,17.358964,0.604535,2.810271,6.535513,0.000000,0.048909
0.020000,5.376113,17.361910,0.662047,2.940981,6.535513,-0.000000,0.053564
0.020000,5.436146,17.365274,0.722174,3.071691,6.535513,0.000000,0.058403
