dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.698727,16.300001,0.000707,0.070748,3.537415,176.870748,6.281912
0.020000,4.698950,16.300001,0.000931,0.011180,-2.978406,-325.791071,6.282135
0.020000,4.699453,16.300000,0.001434,0.025147,0.698344,183.837524,6.282638
0.020000,4.704740,16.300001,0.006721,0.264348,11.960056,563.085583,0.000347
0.020000,4.723822,16.300021,0.025803,0.954110,34.488105,1126.402457,0.001742
0.020000,4.751298,16.300096,0.053279,1.373788,20.983902,-675.210164,0.003748
0.020000,4.788691,16.300287,0.090672,1.869665,24.793846,190.497203,0.006475
0.020000,4.836759,16.300683,0.138742,2.403502,26.691852,94.900302,0.009973
0.020000,4.895494,16.301394,0.197482,2.936972,26.673473,-0.918954,0.014237
0.020000,4.964887,16.302556,0.266884,3.470106,26.656734,-0.836923,0.019258
0.020000,5.044921,16.304329,0.346938,4.002700,26.629689,-1.352239,0.025027
0.020000,5.135580,16.306893,0.437633,4.534759,26.602947,-1.337107,0.031532
0.020000,5.236839,16.310454,0.538955,5.066081,26.566079,-1.843401,0.038758
0.020000,5.348667,16.315235,0.650885,5.596506,26.521243,-2.241787,0.046689
0.020000,5.471028,16.321481,0.773405,6.125993,26.474356,-2.344385,0.055304
0.020000,5.603874,16.329455,0.906490,6.654260,26.413381,-3.048723,0.064580
0.020000,5.747150,16.339435,1.050113,7.181171,26.345547,-3.391716,0.074490
0.020000,5.900790,16.351715,1.204243,7.706507,26.266793,-3.937694,0.085002
0.020000,6.064718,16.366600,1.368846,8.230124,26.180842,-4.297559,0.096081
0.020000,6.238844,16.384405,1.543880,8.751687,26.078131,-5.135531,0.107688
0.020000,6.423066,16.405451,1.729300,9.271034,25.967376,-5.537766,0.119776
0.020000,6.616522,16.429963,1.924303,9.750131,23.954858,-100.625901,0.132250
0.020000,6.817600,16.458019,2.127328,10.151271,20.057005,-194.892642,0.144963
0.020000,7.024697,16.489614,2.336822,10.474686,16.170744,-194.313063,0.157778
0.020000,7.236228,16.524663,2.551237,10.720761,12.303760,-193.349172,0.170563
0.020000,7.450628,16.562993,2.769036,10.889943,8.459099,-192.233092,0.183193
