dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.701486,18.299999,0.000707,0.070748,3.537415,176.870748,6.281699
0.020000,4.701223,18.299999,0.000971,0.013165,-2.879177,-320.829617,6.281962
0.020000,4.700631,18.300000,0.001563,0.029610,0.822274,185.072560,6.282555
0.020000,4.704114,18.300001,0.005047,0.174183,7.228619,320.317270,0.000421
0.020000,4.720159,18.300021,0.021091,0.802229,31.402303,1208.684164,0.002064
0.020000,4.743265,18.300096,0.044198,1.155329,17.655040,-687.363104,0.004427
0.020000,4.774721,18.300286,0.075654,1.572814,20.874222,160.959087,0.007637
0.020000,4.815173,18.300678,0.116108,2.022699,22.494263,81.002061,0.011755
0.020000,4.864626,18.301383,0.165566,2.472885,22.509309,0.752258,0.016773
0.020000,4.923087,18.302537,0.224039,2.923640,22.537729,1.421042,0.022681
0.020000,4.990564,18.304297,0.291538,3.374976,22.566814,1.454221,0.029467
0.020000,5.067063,18.306845,0.368080,3.827096,22.606001,1.959342,0.037115
0.020000,5.152593,18.310385,0.453683,4.280125,22.651428,2.271359,0.045607
0.020000,5.247160,18.315143,0.548370,4.734356,22.711565,3.006846,0.054920
0.020000,5.350771,18.321365,0.652167,5.189860,22.775220,3.182759,0.065027
0.020000,5.463430,18.329318,0.765106,5.646976,22.855797,4.028855,0.075897
0.020000,5.585141,18.339285,0.887225,6.105924,22.947403,4.580307,0.087491
0.020000,5.715906,18.351567,1.018565,6.567027,23.055121,5.385885,0.099769
0.020000,5.855723,18.366478,1.159176,7.030513,23.174290,5.958467,0.112682
0.020000,6.004590,18.384345,1.309111,7.496771,23.312925,6.931755,0.126174
0.020000,6.162501,18.405505,1.468433,7.966089,23.465894,7.648435,0.140184
0.020000,6.328801,18.430200,1.636556,8.406170,22.004064,-73.091521,0.154589
0.020000,6.502190,18.458527,1.812244,8.784385,18.910738,-154.666297,0.169213
0.020000,6.681365,18.490501,1.994250,9.100295,15.795510,-155.761366,0.183886
0.020000,6.865024,18.526053,2.181319,9.353432,12.656811,-156.934964,0.198448
0.020000,7.051866,18.565027,2.372181,9.543147,9.485769,-158.552096,0.212754
0.020000,7.240590,18.607182,2.565556,9.668736,6.279477,-160.314593,0.226670
0.020000,7.429900,18.652192,2.760144,9.729392,3.032780,-162.334877,0.240080
0.020000,7.619149,18.699822,2.955294,9.757517,1.406253,-81.326314,0.252929
0.020000,7.808334,18.749971,3.151014,9.785969,1.422616,0.818148,0.265208
0.020000,7.997458,18.802538,3.347307,9.814664,1.434740,0.606190,0.276914
0.020000,8.186523,18.857423,3.544178,9.843526,1.443076,0.416798,0.288042
0.020000,8.375537,18.914521,3.741627,9.872484,1.447892,0.240794,0.298592
0.020000,8.564508,18.973729,3.939657,9.901485,1.450051,0.107969,0.308561
0.020000,8.753450,19.034941,4.138267,9.930480,1.449747,-0.015216,0.317951
0.020000,8.942375,19.098054,4.337455,9.959426,1.447334,-0.120673,0.326761
0.020000,9.131302,19.162962,4.537221,9.988291,1.443241,-0.204657,0.334995
0.020000,9.320249,19.229561,4.737562,10.017047,1.437819,-0.271089,0.342654
0.020000,9.509239,19.297744,4.938475,10.045667,1.430997,-0.341104,0.349740
0.020000,9.698295,19.367409,5.139958,10.074154,1.424325,-0.333581,0.356256
0.020000,9.887444,19.438450,5.342008,10.102491,1.416841,-0.374198,0.362206
0.020000,10.076714,19.510762,5.544622,10.130675,1.409192,-0.382456,0.367593
0.020000,10.266135,19.584243,5.747796,10.158703,1.401419,-0.388659,0.372418
0.020000,10.455739,19.658789,5.951527,10.186584,1.394064,-0.367732,0.376687
0.020000,10.645559,19.734295,6.155814,10.214333,1.387424,-0.332015,0.380400
0.020000,10.835632,19.810660,6.360653,10.241955,1.381100,-0.316175,0.383561
0.020000,11.025993,19.887779,6.566042,10.269462,1.375361,-0.286945,0.386171
0.020000,11.216681,19.965550,6.771980,10.296874,1.370587,-0.238697,0.388234
0.020000,11.407736,20.043869,6.978464,10.324211,1.366860,-0.186386,0.389750
0.020000,11.599197,20.122633,7.185494,10.351489,1.363907,-0.147651,0.390720
0.020000,11.791108,20.201738,7.393068,10.378728,1.361952,-0.097747,0.391145
0.020000,11.983509,20.281080,7.601187,10.405952,1.361178,-0.038695,0.391026
0.020000,12.176445,20.360554,7.809851,10.433179,1.361368,0.009496,0.390363
0.020000,12.369960,20.440055,8.019060,10.460431,1.362587,0.060968,0.389154
0.020000,12.564097,20.519475,8.228814,10.487733,1.365091,0.125167,0.387399
0.020000,12.758903,20.598708,8.439116,10.515097,1.368231,0.157026,0.385097
0.020000,12.954420,20.677645,8.649967,10.542546,1.372430,0.209954,0.382246
0.020000,13.150695,20.756174,8.861369,10.570097,1.377569,0.256926,0.378844
0.020000,13.347773,20.834184,9.073324,10.597772,1.383742,0.308672,0.374889
0.020000,13.545696,20.911562,9.285836,10.625571,1.389960,0.310916,0.370377
0.020000,13.744510,20.988192,9.498906,10.653511,1.397002,0.352077,0.365307
0.020000,13.944256,21.063956,9.712538,10.681600,1.404419,0.370856,0.359675
0.020000,14.144976,21.138734,9.926735,10.709849,1.412481,0.403100,0.353477
0.020000,14.346710,21.212405,10.141500,10.738242,1.419656,0.358740,0.346712
0.020000,14.549496,21.284844,10.356836,10.766781,1.426945,0.364482,0.339376
0.020000,14.753369,21.355923,10.572745,10.795456,1.433755,0.340499,0.331466
0.020000,14.958364,21.425514,10.789230,10.824252,1.439765,0.300471,0.322980
0.020000,15.164510,21.493485,11.006293,10.853151,1.444964,0.259938,0.313917
0.020000,15.371835,21.559700,11.223935,10.882112,1.448049,0.154273,0.304274
0.020000,15.580362,21.624024,11.442157,10.911103,1.449577,0.076374,0.294051
0.020000,15.790109,21.686317,11.660959,10.940082,1.448919,-0.032878,0.283248
0.020000,16.001090,21.746439,11.880339,10.968994,1.445616,-0.165143,0.271867
0.020000,16.213313,21.804245,12.100294,10.997779,1.439235,-0.319045,0.259910
0.020000,16.426782,21.859593,12.320821,11.026365,1.429329,-0.495291,0.247381
