dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.698514,16.300001,0.000707,0.070748,3.537415,176.870748,6.281699
0.020000,4.698777,16.300001,0.000971,0.013165,-2.879177,-320.829617,6.281962
0.020000,4.699369,16.300000,0.001563,0.029610,0.822274,185.072560,6.282555
0.020000,4.704957,16.300001,0.007151,0.279400,12.489485,583.360582,0.000421
0.020000,4.724287,16.300025,0.026481,0.966485,34.354270,1093.239238,0.002064
0.020000,4.752118,16.300115,0.054312,1.391575,21.254479,-654.989572,0.004427
0.020000,4.789994,16.300344,0.092189,1.893829,25.112724,192.912284,0.007637
0.020000,4.838682,16.300816,0.140879,2.434494,27.033247,96.026119,0.011755
0.020000,4.898169,16.301665,0.200372,2.974682,27.009408,-1.191956,0.016773
0.020000,4.968445,16.303051,0.270662,3.514467,26.989228,-1.008973,0.022681
0.020000,5.049489,16.305165,0.351733,4.053579,26.955609,-1.680987,0.029467
0.020000,5.141277,16.308222,0.443572,4.591936,26.917834,-1.888741,0.037115
0.020000,5.243776,16.312465,0.546158,5.129315,26.868978,-2.442801,0.045607
0.020000,5.356945,16.318158,0.659471,5.665650,26.816736,-2.612076,0.054920
0.020000,5.480733,16.325592,0.783482,6.200553,26.745150,-3.579304,0.065027
0.020000,5.615077,16.335075,0.918160,6.733907,26.667693,-3.872829,0.075897
0.020000,5.759901,16.346935,1.063469,7.265403,26.574809,-4.644213,0.087491
0.020000,5.915114,16.361512,1.219365,7.794808,26.470231,-5.228897,0.099769
0.020000,6.080610,16.379161,1.385799,8.321736,26.346393,-6.191914,0.112682
0.020000,6.256269,16.400244,1.562719,8.845959,26.211180,-6.760668,0.126174
0.020000,6.441951,16.425125,1.750061,9.367107,26.057396,-7.689202,0.140184
0.020000,6.636749,16.454051,1.946995,9.846710,23.980156,-103.861964,0.154589
0.020000,6.839003,16.487092,2.151930,10.246750,20.001976,-198.909035,0.169213
0.020000,7.047068,16.524219,2.363281,10.567545,16.039751,-198.111236,0.183886
0.020000,7.259321,16.565305,2.579474,10.809653,12.105428,-196.716129,0.198448
0.020000,7.474170,16.610121,2.798947,10.973675,8.201068,-195.218029,0.212754
0.020000,7.690057,16.658342,3.020154,11.060348,4.333641,-193.371318,0.226670
0.020000,7.905462,16.709555,3.241563,11.070448,0.505031,-191.430513,0.240080
0.020000,8.119630,16.763454,3.462410,11.042336,-1.405638,-95.533437,0.252929
0.020000,8.332555,16.819895,3.682688,11.013896,-1.421955,-0.815882,0.265208
0.020000,8.544234,16.878731,3.902392,10.985215,-1.434052,-0.604817,0.276914
0.020000,8.754674,16.939819,4.121520,10.956368,-1.442373,-0.416053,0.288042
0.020000,8.963886,17.003017,4.340068,10.927417,-1.447567,-0.259712,0.298592
0.020000,9.171884,17.068185,4.558036,10.898424,-1.449605,-0.101921,0.308561
0.020000,9.378691,17.135185,4.775425,10.869441,-1.449177,0.021428,0.317951
0.020000,9.584330,17.203880,4.992235,10.840506,-1.446746,0.121554,0.326761
0.020000,9.788831,17.274138,5.208468,10.811653,-1.442646,0.204978,0.334995
0.020000,9.992225,17.345828,5.424127,10.782908,-1.437245,0.270048,0.342654
0.020000,10.194546,17.418821,5.639212,10.754282,-1.431305,0.297003,0.349740
0.020000,10.395832,17.492991,5.853728,10.725806,-1.423794,0.375541,0.356256
0.020000,10.596121,17.568215,6.067678,10.697480,-1.416322,0.373635,0.362206
0.020000,10.795454,17.644372,6.281064,10.669306,-1.408705,0.380809,0.367593
0.020000,10.993873,17.721343,6.493890,10.641279,-1.401356,0.367446,0.372418
0.020000,11.191421,17.799012,6.706158,10.613396,-1.394106,0.362525,0.376687
0.020000,11.388143,17.877263,6.917871,10.585656,-1.387002,0.355210,0.380400
0.020000,11.584081,17.955984,7.129032,10.558041,-1.380761,0.312027,0.383561
0.020000,11.779282,18.035063,7.339642,10.530534,-1.375359,0.270135,0.386171
0.020000,11.973790,18.114391,7.549705,10.503122,-1.370616,0.237134,0.388234
0.020000,12.167649,18.193860,7.759220,10.475789,-1.366627,0.199446,0.389750
0.020000,12.360905,18.273362,7.968191,10.448513,-1.363802,0.141230,0.390720
0.020000,12.553603,18.352792,8.176616,10.421273,-1.362010,0.089625,0.391145
0.020000,12.745784,18.432043,8.384497,10.394050,-1.361128,0.044098,0.391026
0.020000,12.937493,18.511012,8.591834,10.366822,-1.361402,-0.013698,0.390363
0.020000,13.128772,18.589594,8.798625,10.339567,-1.362757,-0.067764,0.389154
0.020000,13.319661,18.667686,9.004870,10.312269,-1.364902,-0.107248,0.387399
0.020000,13.510201,18.745185,9.210568,10.284901,-1.368398,-0.174821,0.385097
0.020000,13.700432,18.821987,9.415717,10.257447,-1.372718,-0.215953,0.382246
0.020000,13.890390,18.897989,9.620315,10.229890,-1.377831,-0.255651,0.378844
0.020000,14.080111,18.973088,9.824360,10.202221,-1.383463,-0.281646,0.374889
0.020000,14.269631,19.047180,10.027848,10.174414,-1.390345,-0.344073,0.370377
0.020000,14.458982,19.120163,10.230777,10.146465,-1.397455,-0.355510,0.365307
0.020000,14.648195,19.191933,10.433144,10.118367,-1.404917,-0.373070,0.359675
0.020000,14.837300,19.262385,10.634947,10.090124,-1.412123,-0.360312,0.353477
0.020000,15.026324,19.331415,10.836181,10.061722,-1.420116,-0.399669,0.346712
0.020000,15.215293,19.398918,11.036845,10.033172,-1.427493,-0.368826,0.339376
0.020000,15.404229,19.464791,11.236934,10.004486,-1.434310,-0.340852,0.331466
0.020000,15.593153,19.528927,11.436448,9.975680,-1.440310,-0.300005,0.322980
0.020000,15.782083,19.591222,11.635384,9.946782,-1.444897,-0.229361,0.313917
0.020000,15.971036,19.651571,11.833740,9.917809,-1.448607,-0.185498,0.304274
0.020000,16.160025,19.709869,12.031516,9.888805,-1.450217,-0.080478,0.294051
0.020000,16.349060,19.766012,12.228712,9.859814,-1.449547,0.033477,0.283248
0.020000,16.538150,19.819896,12.425330,9.830890,-1.446223,0.166208,0.271867
0.020000,16.727300,19.871419,12.621372,9.802094,-1.439810,0.320636,0.259910
0.020000,16.916513,19.920479,12.816842,9.773496,-1.429865,0.497241,0.247381
0.020000,17.105790,19.966975,13.011745,9.745176,-1.416037,0.691427,0.234286
0.020000,17.295126,20.010810,13.206090,9.717221,-1.397728,0.915428,0.220632
0.020000,17.484517,20.051886,13.399884,9.689731,-1.374518,1.160521,0.206428
0.020000,17.673956,20.090111,13.593141,9.662810,-1.346026,1.424573,0.191686
0.020000,17.863430,20.125392,13.785872,9.636573,-1.311876,1.707521,0.176420
0.020000,18.052928,20.157643,13.978095,9.611137,-1.271753,2.006135,0.160644
0.020000,18.242433,20.186780,14.169827,9.586611,-1.226343,2.270525,0.144379
0.020000,18.431929,20.212722,14.361090,9.563150,-1.173021,2.666086,0.127644
0.020000,18.621395,20.235393,14.551908,9.540875,-1.113741,2.963977,0.110464
0.020000,18.810809,20.254723,14.742306,9.519917,-1.047902,3.291971,0.092865
0.020000,19.000148,20.270647,14.932313,9.500354,-0.978174,3.486382,0.074875
0.020000,19.189386,20.283104,15.121961,9.482382,-0.898580,3.979694,0.056525
0.020000,19.378497,20.292040,15.311283,9.466096,-0.814295,4.214297,0.037850
0.020000,19.567451,20.297406,15.500313,9.451500,-0.729796,4.224907,0.018883
0.020000,19.756220,20.299160,15.689090,9.438876,-0.631237,4.927980,6.282848
0.020000,19.944772,20.297268,15.877651,9.428048,-0.541387,4.492487,6.263413
0.020000,20.133076,20.291699,16.066038,9.419331,-0.435846,5.277049,6.243802
0.020000,20.320158,20.282488,16.253346,9.365406,-2.696264,-113.020900,6.224714
0.020000,20.496075,20.269751,16.429724,8.818906,-27.324985,-1231.436037,6.197112
0.020000,20.672303,20.251862,16.606858,8.856681,1.888750,1460.686737,6.166253
0.020000,20.844152,20.228725,16.780257,8.669970,-9.335563,-561.215653,6.131661
0.020000,21.010820,20.200031,16.949377,8.455981,-10.699438,-68.193751,6.092791
0.020000,21.171381,20.165520,17.113605,8.211440,-12.227061,-76.381126,6.049033
0.020000,21.324799,20.125009,17.272281,7.933804,-13.881808,-82.737383,5.999725
0.020000,21.469956,20.078434,17.424728,7.622310,-15.574701,-84.644616,5.944191
0.020000,21.605732,20.025875,17.570321,7.279684,-17.131259,-77.827902,5.881808
0.020000,21.731125,19.967563,17.708609,6.914404,-18.264011,-56.637632,5.812125
0.020000,21.845423,19.903833,17.839474,6.543235,-18.558463,-14.722582,5.735022
0.020000,21.948085,19.835219,17.962954,6.174022,-18.460665,4.889878,5.651188
0.020000,22.038999,19.762350,18.079467,5.825649,-17.418634,52.101576,5.562395
0.020000,22.118802,19.685591,18.190194,5.536333,-14.465805,147.641439,5.471236
0.020000,22.188571,19.605018,18.296776,5.329108,-10.361242,205.228163,5.380767
0.020000,22.249404,19.520649,18.400790,5.200678,-6.421523,196.985956,5.293976
0.020000,22.302147,19.432807,18.503250,5.122993,-3.884236,126.864325,5.213293
0.020000,22.347372,19.342398,18.604339,5.054453,-3.426977,22.862985,5.140315
0.020000,22.385646,19.250585,18.703810,4.973570,-4.044172,-30.859784,5.075560
